Node_ID,Interest,Extraversion
0,Music,0.63
1,Gaming,0.69
2,Cricket,0.66
3,Travel,0.39
4,Cricket,0.71
5,Music,0.78
6,Coding,0.94
7,Travel,0.66
8,Coding,0.41
9,Art,0.79
10,Music,0.18
11,Art,0.6
12,Gaming,0.66
13,Cricket,0.87
14,Cricket,0.51
15,Gaming,0.43
16,Coding,0.85
17,Music,0.84
18,Gaming,0.1
19,Cricket,0.65
20,Books,0.49
21,Music,0.12
22,Books,0.95
23,Travel,0.05
24,Books,0.58
25,Travel,0.96
26,Coding,0.11
27,Gaming,0.46
28,Books,0.08
29,Music,0.49
30,Cricket,0.83
31,Coding,0.72
32,Books,0.02
33,Art,0.22
34,Gaming,0.83
35,Coding,0.05
36,Cricket,0.77
37,Gaming,0.51
38,Cricket,0.06
39,Music,0.58
40,Books,0.59
41,Travel,0.91
42,Cricket,0.92
43,Cricket,0.06
44,Cricket,0.96
45,Gaming,0.5
46,Cricket,0.39
47,Music,0.54
48,Gaming,0.98
49,Travel,0.42
50,Books,0.89
51,Books,0.09
52,Music,0.22
53,Coding,0.26
54,Travel,0.45
55,Music,0.2
56,Gaming,0.36
57,Books,0.42
58,Books,0.09
59,Travel,0.54
60,Music,0.24
61,Coding,0.48
62,Gaming,0.95
63,Cricket,0.75
64,Travel,0.65
65,Books,0.79
66,Music,0.6
67,Cricket,0.82
68,Gaming,0.61
69,Coding,0.64
70,Music,0.76
71,Art,0.86
72,Books,0.45
73,Art,0.14
74,Travel,0.32
75,Travel,0.02
76,Coding,0.42
77,Travel,0.15
78,Art,0.2
79,Travel,0.93
80,Coding,0.94
81,Books,0.49
82,Travel,0.4
83,Books,0.6
84,Coding,0.68
85,Travel,0.73
86,Art,0.8
87,Coding,0.29
88,Coding,0.55
89,Cricket,0.76
90,Cricket,0.76
91,Music,0.92
92,Books,0.57
93,Art,0.17
94,Music,0.57
95,Gaming,0.88
96,Travel,0.07
97,Books,0.12
98,Music,0.09
99,Cricket,0.6
100,Cricket,0.79
101,Cricket,0.72
102,Cricket,0.24
103,Music,0.85
104,Coding,0.83
105,Music,0.16
106,Books,0.2
107,Books,0.67
108,Coding,0.3
109,Music,0.8
110,Books,0.53
111,Gaming,0.75
112,Coding,0.99
113,Art,0.54
114,Cricket,0.46
115,Art,0.25
116,Art,0.32
117,Travel,0.19
118,Music,0.04
119,Art,0.51
120,Travel,0.68
121,Music,0.23
122,Music,0.42
123,Cricket,0.16
124,Books,0.31
125,Books,0.48
126,Coding,0.79
127,Travel,0.39
128,Gaming,0.1
129,Art,0.25
130,Art,0.32
131,Travel,0.66
132,Art,0.13
133,Travel,0.71
134,Cricket,0.35
135,Coding,0.38
136,Coding,0.92
137,Music,0.5
138,Travel,0.88
139,Gaming,0.83
140,Gaming,0.87
141,Gaming,0.99
142,Books,0.14
143,Travel,0.71
144,Gaming,0.91
145,Books,0.8
146,Music,0.02
147,Gaming,0.07
148,Music,0.3
149,Music,0.31
150,Cricket,0.23
151,Travel,0.65
152,Gaming,0.85
153,Gaming,0.65
154,Books,0.38
155,Art,0.96
156,Art,0.36
157,Music,0.38
158,Books,0.51
159,Travel,0.56
160,Music,0.46
161,Art,0.24
162,Art,0.86
163,Cricket,0.3
164,Art,0.27
165,Cricket,0.52
166,Gaming,0.38
167,Music,0.79
168,Gaming,0.77
169,Music,0.58
170,Books,0.95
171,Travel,0.01
172,Travel,0.49
173,Cricket,0.87
174,Music,0.81
175,Coding,0.62
176,Cricket,0.33
177,Books,0.69
178,Coding,0.74
179,Music,0.72
180,Art,0.23
181,Art,0.17
182,Music,0.8
183,Cricket,0.63
184,Art,0.3
185,Coding,0.49
186,Gaming,0.42
