Node_ID,Interest,Extraversion
0,Gaming,0.7
1,Art,0.03
2,Art,0.38
3,Cricket,0.41
4,Coding,0.88
5,Cricket,0.58
6,Cricket,0.16
7,Music,0.54
8,Music,0.51
9,Coding,0.12
10,Gaming,0.3
11,Art,0.79
12,Art,0.61
13,Coding,0.69
14,Art,0.98
15,Gaming,0.35
16,Gaming,0.91
17,Music,0.43
18,Art,0.17
19,Music,0.76
20,Cricket,0.59
21,Music,0.37
22,Cricket,0.93
23,Cricket,0.85
24,Travel,0.18
25,Books,0.26
26,Coding,0.85
27,Gaming,0.43
28,Travel,0.77
29,Books,0.95
30,Books,0.81
31,Cricket,0.55
32,Coding,0.72
33,Coding,0.39
34,Cricket,0.15
35,Travel,0.93
36,Coding,0.76
37,Coding,0.82
38,Music,0.15
39,Books,0.31
40,Gaming,0.43
41,Travel,0.42
42,Music,0.79
43,Cricket,0.35
44,Cricket,0.83
45,Cricket,0.74
46,Gaming,0.66
47,Gaming,0.93
48,Art,0.82
49,Books,0.4
50,Cricket,0.86
51,Art,0.92
52,Gaming,0.77
53,Travel,0.05
54,Travel,0.83
55,Art,0.83
56,Books,0.88
57,Gaming,0.62
58,Gaming,0.82
59,Music,0.5
60,Music,0.47
61,Travel,0.19
62,Gaming,0.6
63,Cricket,0.27
64,Cricket,0.33
65,Books,0.09
66,Books,0.9
67,Books,0.46
68,Music,0.23
69,Coding,0.54
70,Cricket,0.78
71,Travel,1.0
72,Books,0.32
73,Music,0.44
74,Travel,0.6
75,Travel,0.7
76,Art,0.13
77,Cricket,0.44
78,Music,0.84
79,Music,1.0
80,Books,0.5
81,Coding,0.32
82,Music,0.28
83,Music,0.85
84,Coding,0.73
85,Coding,0.99
86,Cricket,0.27
87,Gaming,0.96
88,Music,0.75
89,Cricket,0.51
90,Art,0.06
91,Coding,0.95
92,Art,0.42
93,Coding,0.92
94,Cricket,0.69
95,Books,0.09
96,Coding,0.8
97,Cricket,0.56
98,Books,0.4
99,Coding,0.27
100,Travel,0.63
101,Gaming,0.58
102,Music,0.48
103,Books,0.8
104,Gaming,0.99
105,Gaming,0.65
106,Coding,0.96
107,Art,0.52
108,Travel,0.01
109,Coding,0.24
110,Books,0.94
111,Travel,0.36
112,Cricket,0.27
113,Art,0.51
114,Coding,0.01
115,Music,0.89
116,Music,0.78
117,Gaming,0.98
118,Art,0.16
119,Books,0.13
120,Cricket,0.93
121,Gaming,0.14
122,Cricket,0.18
123,Gaming,0.17
124,Books,0.7
125,Travel,0.17
126,Cricket,0.3
127,Music,0.4
128,Coding,0.26
129,Coding,0.12
130,Music,0.73
131,Books,0.38
132,Music,0.29
133,Travel,0.64
134,Art,0.07
135,Books,0.66
136,Cricket,0.63
137,Gaming,0.05
138,Travel,0.73
139,Music,0.1
140,Books,0.3
141,Coding,0.05
142,Cricket,0.16
143,Gaming,0.28
144,Coding,0.29
145,Gaming,0.73
146,Cricket,0.59
147,Gaming,0.21
148,Books,0.16
149,Coding,0.39
150,Travel,0.5
151,Coding,0.11
152,Coding,0.77
153,Art,0.06
154,Travel,0.65
155,Travel,0.74
156,Cricket,0.49
157,Cricket,0.17
158,Gaming,0.22
159,Travel,0.81
160,Cricket,0.79
161,Coding,0.74
162,Travel,0.31
163,Travel,0.11
164,Cricket,0.58
165,Art,0.73
166,Books,0.87
167,Art,0.33
168,Art,0.95
169,Cricket,0.49
170,Gaming,0.69
171,Art,0.51
172,Gaming,0.73
173,Art,0.22
174,Books,0.96
175,Music,0.63
176,Gaming,0.48
177,Cricket,0.84
178,Travel,0.72
179,Music,0.33
180,Travel,0.93
181,Books,0.62
182,Art,0.22
183,Art,0.29
184,Gaming,0.57
185,Music,0.03
186,Books,0.1
187,Art,0.11
188,Coding,0.73
189,Gaming,0.79
190,Gaming,0.81
191,Cricket,0.19
192,Coding,0.52
193,Art,0.92
194,Travel,0.88
195,Gaming,0.11
196,Books,0.43
197,Cricket,0.65
198,Cricket,0.43
199,Gaming,0.92
200,Coding,0.41
201,Gaming,0.66
202,Gaming,0.97
203,Coding,0.46
204,Books,0.69
205,Coding,0.35
206,Music,0.95
207,Cricket,0.71
208,Coding,0.56
209,Cricket,0.97
210,Coding,0.85
211,Gaming,0.85
212,Cricket,0.55
213,Travel,0.37
214,Music,0.91
215,Art,0.98
216,Travel,0.27
217,Art,0.13
218,Coding,0.75
219,Books,0.85
220,Books,0.55
221,Travel,0.15
222,Music,0.56
223,Travel,0.48
224,Cricket,1.0
225,Travel,0.7
226,Art,0.76
227,Music,0.47
228,Gaming,0.53
229,Cricket,0.98
230,Books,0.14
231,Gaming,0.09
232,Music,0.79
233,Travel,0.27
234,Books,0.56
235,Cricket,0.61
236,Art,0.07
237,Coding,0.56
238,Cricket,0.46
239,Art,0.67
240,Cricket,0.74
241,Cricket,0.13
242,Travel,0.46
243,Coding,0.43
244,Travel,0.67
245,Coding,0.46
246,Books,0.21
247,Coding,0.18
248,Art,0.88
249,Books,0.69
250,Coding,0.24
251,Books,0.72
252,Cricket,0.11
253,Music,0.55
254,Music,0.99
255,Travel,0.31
256,Cricket,0.02
257,Art,0.8
258,Cricket,0.3
259,Books,0.82
260,Gaming,0.36
261,Gaming,0.01
262,Coding,0.82
263,Books,0.62
264,Music,0.78
265,Gaming,0.1
266,Music,0.3
267,Books,0.59
268,Cricket,0.84
269,Cricket,0.55
270,Travel,0.09
271,Travel,0.48
272,Gaming,0.87
273,Travel,0.94
274,Books,0.24
275,Art,0.59
276,Music,0.15
277,Gaming,0.67
