Node_ID,Interest,Extraversion
0,Art,0.6
1,Cricket,0.95
2,Coding,0.76
3,Cricket,0.16
4,Music,0.91
5,Coding,0.41
6,Cricket,0.5
7,Cricket,0.04
8,Music,0.14
9,Art,0.53
10,Gaming,0.35
11,Gaming,0.92
12,Travel,0.66
13,Cricket,0.73
14,Coding,0.95
15,Cricket,0.4
16,Art,0.66
17,Art,0.01
18,Coding,0.64
19,Books,0.54
20,Cricket,0.24
21,Gaming,0.42
22,Books,0.77
23,Gaming,0.4
24,Cricket,0.35
25,Coding,0.81
26,Music,0.36
27,Art,0.89
28,Art,0.9
29,Travel,0.78
30,Coding,0.8
31,Cricket,0.61
32,Travel,0.81
33,Travel,0.69
34,Music,0.81
35,Travel,0.36
36,Books,0.94
37,Music,0.47
38,Music,0.13
39,Gaming,0.92
40,Travel,0.38
41,Travel,0.0
42,Gaming,0.47
43,Gaming,0.71
44,Travel,0.07
45,Music,0.34
46,Travel,0.52
47,Music,0.13
48,Coding,0.47
49,Books,0.98
50,Travel,0.74
51,Travel,0.12
52,Cricket,0.47
53,Coding,0.91
54,Books,0.51
55,Gaming,0.17
56,Travel,0.42
57,Art,0.55
58,Art,0.44
59,Music,0.87
60,Books,0.56
61,Music,0.62
62,Books,0.67
63,Books,0.02
64,Coding,0.64
65,Gaming,0.82
66,Gaming,0.22
67,Gaming,0.53
68,Gaming,0.06
69,Music,0.65
70,Travel,0.34
71,Books,0.32
72,Travel,0.8
73,Music,0.87
74,Cricket,0.37
75,Gaming,0.84
76,Gaming,0.12
77,Gaming,0.33
78,Music,0.51
79,Art,0.7
80,Gaming,0.74
81,Books,0.81
82,Coding,0.09
83,Books,0.53
84,Music,0.72
85,Music,0.31
86,Coding,0.9
87,Coding,0.27
88,Coding,0.75
89,Books,0.85
90,Cricket,0.52
91,Music,0.45
92,Travel,0.17
93,Gaming,0.03
94,Travel,0.97
95,Music,0.12
96,Music,0.3
97,Travel,0.51
98,Books,0.87
99,Coding,0.27
100,Coding,0.76
101,Music,0.47
102,Cricket,0.03
103,Cricket,0.25
104,Gaming,0.87
105,Coding,0.95
106,Art,0.92
107,Cricket,0.65
108,Art,0.65
109,Travel,0.97
110,Music,0.41
111,Cricket,0.71
112,Books,0.52
113,Travel,0.3
114,Art,0.72
115,Coding,0.18
116,Coding,0.51
117,Music,0.51
118,Books,0.1
119,Books,0.36
120,Books,0.75
121,Music,0.45
122,Books,0.73
123,Travel,0.3
124,Travel,0.39
125,Travel,0.44
126,Gaming,0.21
127,Books,0.71
128,Art,0.23
129,Art,0.06
130,Coding,0.79
131,Coding,0.9
132,Music,0.29
133,Coding,0.32
134,Gaming,0.43
135,Travel,0.91
136,Music,0.64
137,Books,1.0
138,Music,0.18
139,Art,0.84
140,Travel,0.47
141,Books,0.17
142,Art,0.11
143,Books,0.04
144,Art,0.32
145,Coding,0.44
146,Gaming,0.98
147,Art,0.86
148,Cricket,0.97
149,Music,0.19
150,Cricket,0.67
151,Books,0.61
152,Coding,0.77
153,Art,0.76
154,Travel,0.18
155,Coding,0.15
156,Coding,0.11
157,Art,0.74
158,Travel,0.11
159,Coding,0.8
160,Art,0.14
161,Books,0.54
162,Art,0.76
163,Art,0.95
164,Travel,0.96
165,Books,0.89
166,Art,0.32
167,Coding,0.82
168,Gaming,0.98
169,Coding,0.34
170,Coding,0.03
171,Art,0.06
172,Gaming,0.63
173,Books,0.0
174,Books,0.96
175,Gaming,0.86
176,Cricket,0.25
177,Gaming,0.39
178,Coding,0.58
179,Books,0.22
180,Books,0.59
181,Gaming,0.32
182,Cricket,0.89
183,Music,0.27
184,Gaming,0.88
185,Coding,0.45
186,Travel,0.73
187,Travel,0.89
188,Gaming,0.43
189,Travel,0.01
190,Books,0.62
191,Books,0.36
192,Books,0.91
193,Music,0.55
194,Books,0.59
195,Cricket,0.33
196,Gaming,0.49
197,Cricket,0.56
198,Gaming,0.36
199,Books,0.56
200,Art,0.97
201,Art,0.86
202,Travel,0.46
203,Art,0.29
204,Cricket,0.84
205,Travel,0.69
206,Travel,0.94
207,Travel,0.67
208,Coding,0.17
209,Travel,0.34
210,Cricket,0.53
211,Travel,0.7
212,Art,0.97
213,Art,0.4
214,Music,0.66
215,Books,0.36
216,Coding,0.54
217,Music,0.21
218,Gaming,0.34
219,Art,0.41
220,Books,0.43
221,Books,0.35
222,Travel,0.15
223,Coding,0.6
224,Coding,0.5
225,Travel,0.29
226,Books,0.53
227,Books,0.26
228,Books,0.29
229,Travel,0.1
230,Gaming,0.1
231,Gaming,0.01
232,Travel,0.87
233,Art,0.61
234,Art,0.25
235,Travel,0.54
236,Art,0.79
237,Music,0.03
238,Gaming,0.99
239,Art,0.28
240,Books,0.81
241,Cricket,0.83
242,Cricket,0.44
243,Art,0.76
244,Art,0.45
245,Books,0.95
246,Travel,0.82
247,Coding,0.81
248,Art,0.95
249,Books,0.86
250,Books,0.44
251,Coding,0.94
252,Books,0.1
253,Cricket,0.92
254,Travel,0.83
