Node_ID,Interest,Extraversion
0,Books,0.61
1,Music,0.29
2,Art,0.99
3,Cricket,0.61
4,Music,0.5
5,Gaming,0.12
6,Art,0.96
7,Music,0.58
8,Music,0.17
9,Coding,0.02
10,Art,0.23
11,Art,0.47
12,Cricket,0.14
13,Music,0.15
14,Art,0.87
15,Coding,0.58
16,Music,0.29
17,Art,0.19
18,Music,0.86
19,Gaming,0.26
20,Gaming,0.98
21,Coding,0.72
22,Cricket,0.21
23,Travel,0.8
24,Gaming,0.78
25,Coding,0.08
26,Travel,0.52
27,Books,0.75
28,Music,0.74
29,Books,0.27
30,Books,0.02
31,Cricket,0.34
32,Cricket,0.89
33,Music,0.86
34,Travel,0.07
35,Cricket,0.83
36,Art,0.39
37,Music,0.97
38,Music,0.0
39,Art,0.39
40,Art,0.31
41,Coding,0.6
42,Music,0.43
43,Art,0.78
44,Gaming,0.12
45,Cricket,0.29
46,Cricket,0.71
47,Cricket,0.33
48,Music,0.17
49,Art,0.88
50,Travel,0.93
51,Music,0.94
52,Music,0.1
53,Art,0.45
54,Music,0.95
55,Travel,0.35
56,Books,0.21
57,Art,0.86
58,Gaming,0.52
59,Music,0.82
60,Books,0.55
61,Coding,0.85
62,Books,0.29
63,Coding,1.0
64,Music,0.45
65,Travel,0.54
66,Coding,0.57
67,Travel,0.33
68,Art,0.95
69,Books,0.41
70,Books,0.5
71,Travel,0.08
72,Books,0.68
73,Books,0.92
74,Coding,0.98
75,Music,0.19
76,Travel,0.42
77,Gaming,0.31
78,Cricket,0.3
79,Art,0.25
80,Travel,0.82
81,Coding,0.23
82,Books,0.41
83,Travel,0.16
84,Music,0.59
85,Books,0.73
86,Gaming,0.93
87,Cricket,0.36
88,Art,0.67
89,Music,0.43
90,Travel,0.96
91,Cricket,0.84
92,Books,0.98
93,Coding,0.49
94,Cricket,0.84
95,Travel,0.37
96,Coding,0.63
97,Music,0.05
98,Books,0.45
99,Coding,0.1
100,Books,0.19
101,Music,0.71
102,Music,1.0
103,Cricket,0.7
104,Coding,0.32
105,Travel,0.19
106,Cricket,0.46
107,Books,0.78
108,Art,0.31
109,Travel,0.76
110,Books,0.84
111,Music,0.82
112,Books,0.31
113,Coding,0.63
114,Coding,0.7
115,Music,0.44
116,Travel,0.36
117,Travel,0.53
118,Music,0.95
119,Cricket,0.03
120,Travel,0.22
121,Coding,0.15
122,Art,0.37
123,Coding,0.74
124,Music,0.26
125,Cricket,0.92
126,Gaming,0.17
127,Travel,0.75
128,Travel,0.25
129,Travel,0.98
130,Cricket,0.65
131,Gaming,0.32
132,Music,0.51
133,Travel,1.0
134,Travel,0.45
135,Books,0.54
136,Gaming,0.82
137,Books,0.14
138,Gaming,0.02
139,Gaming,0.18
140,Books,0.21
141,Cricket,0.35
142,Cricket,0.73
143,Art,0.18
144,Coding,0.43
145,Art,0.36
146,Gaming,0.52
147,Art,0.67
148,Gaming,0.7
149,Cricket,0.53
150,Gaming,0.74
151,Coding,0.47
152,Travel,0.18
153,Travel,0.47
154,Travel,0.32
155,Art,0.09
156,Gaming,0.07
157,Music,0.43
158,Music,0.28
159,Music,0.98
160,Cricket,0.78
161,Art,0.34
162,Travel,0.47
163,Coding,0.29
164,Art,0.55
165,Travel,0.42
166,Travel,0.53
167,Books,0.71
168,Music,0.27
169,Cricket,0.43
170,Coding,0.57
171,Books,0.78
172,Coding,0.25
173,Music,0.89
174,Gaming,0.46
175,Coding,0.83
176,Music,0.57
177,Coding,0.72
178,Music,0.91
179,Books,0.41
180,Gaming,0.62
181,Cricket,0.41
182,Music,0.8
183,Gaming,0.84
184,Travel,0.18
185,Books,0.67
186,Cricket,0.9
187,Art,0.82
188,Books,0.09
189,Books,0.26
190,Art,0.51
191,Travel,0.44
192,Books,0.85
193,Travel,0.24
194,Music,0.94
195,Cricket,0.92
196,Art,0.17
197,Art,0.53
198,Art,0.65
199,Art,0.86
200,Cricket,0.48
201,Art,0.7
202,Coding,0.7
203,Cricket,0.28
204,Art,0.88
205,Music,0.38
206,Music,0.77
207,Gaming,0.61
208,Coding,0.13
209,Travel,0.51
210,Books,0.98
211,Coding,0.91
212,Coding,0.36
213,Books,0.85
214,Coding,0.54
215,Cricket,0.78
216,Music,0.73
217,Music,0.69
218,Cricket,0.99
219,Art,0.76
220,Travel,0.45
221,Travel,0.1
222,Books,0.02
223,Coding,0.89
224,Books,0.98
225,Coding,0.3
226,Books,0.95
227,Music,0.15
228,Coding,0.86
229,Gaming,0.66
230,Music,0.47
231,Books,0.61
232,Gaming,0.54
233,Travel,0.14
234,Books,0.23
235,Music,0.33
236,Travel,0.54
237,Coding,0.72
238,Music,0.04
239,Gaming,0.36
240,Books,0.44
241,Music,0.3
242,Coding,0.02
243,Gaming,0.69
244,Books,0.77
245,Art,0.26
246,Gaming,0.48
247,Music,0.17
248,Travel,0.46
249,Travel,0.84
250,Coding,0.48
251,Music,0.6
252,Art,0.63
253,Cricket,0.27
254,Coding,0.95
255,Cricket,0.14
256,Music,0.61
257,Cricket,0.93
258,Books,0.25
259,Books,0.76
260,Travel,0.3
261,Coding,0.84
262,Gaming,0.14
263,Cricket,0.49
264,Cricket,0.99
265,Travel,0.45
266,Cricket,0.52
267,Music,0.18
268,Cricket,0.49
269,Gaming,0.69
270,Music,0.7
271,Gaming,0.95
272,Music,0.88
273,Travel,0.56
274,Art,0.88
275,Cricket,0.51
276,Art,0.74
277,Coding,0.48
278,Books,0.06
279,Cricket,0.68
280,Travel,0.34
281,Coding,0.22
282,Coding,0.27
283,Coding,0.59
284,Travel,0.08
285,Gaming,0.29
286,Cricket,0.66
287,Cricket,0.89
288,Art,0.24
289,Gaming,0.79
290,Travel,0.84
291,Travel,0.07
292,Travel,0.92
293,Cricket,0.29
294,Cricket,0.95
295,Books,0.04
296,Books,0.54
297,Coding,0.35
298,Travel,0.17
299,Travel,0.29
300,Art,0.82
301,Art,0.13
302,Cricket,0.09
303,Coding,0.29
304,Coding,0.62
305,Gaming,0.54
306,Gaming,0.45
307,Coding,0.64
308,Coding,0.59
309,Travel,0.58
310,Books,0.93
311,Books,0.72
312,Art,0.74
313,Travel,0.42
314,Art,0.26
315,Cricket,0.68
316,Coding,0.02
317,Coding,0.86
318,Art,0.74
319,Books,0.54
320,Travel,0.62
321,Music,0.09
322,Books,0.47
323,Gaming,0.72
324,Books,0.74
325,Books,0.35
326,Music,0.69
327,Music,0.96
328,Gaming,0.49
329,Gaming,0.99
330,Gaming,0.79
331,Coding,0.55
332,Music,0.76
333,Art,0.93
334,Art,0.11
335,Books,0.21
336,Art,0.08
337,Coding,0.52
338,Books,0.4
339,Travel,0.29
340,Music,0.15
341,Gaming,0.88
342,Books,0.89
343,Coding,0.73
344,Cricket,0.13
345,Travel,0.28
346,Travel,0.35
347,Coding,0.15
348,Books,0.91
349,Art,0.37
350,Gaming,0.22
351,Books,0.41
352,Music,0.32
353,Coding,0.48
354,Gaming,0.38
355,Gaming,0.47
356,Gaming,0.01
357,Art,0.93
358,Travel,0.52
359,Art,0.9
360,Art,0.39
361,Art,0.69
362,Travel,0.47
363,Cricket,0.32
364,Music,0.24
365,Gaming,0.97
366,Art,0.5
367,Art,0.78
368,Music,0.11
369,Books,0.58
370,Gaming,0.2
371,Art,0.09
372,Books,0.02
373,Coding,0.03
374,Cricket,0.68
375,Travel,0.09
376,Art,0.64
377,Cricket,0.5
