Node_ID,Interest,Extraversion
0,Music,0.63
1,Travel,0.79
2,Art,0.65
3,Cricket,0.75
4,Cricket,0.39
5,Music,0.39
6,Coding,0.85
7,Music,0.55
8,Travel,0.51
9,Art,0.43
10,Cricket,0.34
11,Books,0.24
12,Travel,0.91
13,Books,0.58
14,Coding,0.67
15,Cricket,0.97
16,Books,0.68
17,Art,0.26
18,Books,0.46
19,Gaming,0.36
20,Coding,0.1
21,Music,0.73
22,Travel,0.61
23,Cricket,0.55
24,Travel,0.48
25,Gaming,0.26
26,Travel,0.67
27,Gaming,0.75
28,Books,0.77
29,Books,0.62
30,Art,0.76
31,Cricket,0.06
32,Gaming,0.94
33,Books,0.3
34,Gaming,0.55
35,Coding,0.58
36,Books,0.47
37,Art,0.33
38,Gaming,0.35
39,Music,0.05
40,Coding,0.68
41,Books,0.27
42,Gaming,0.06
43,Cricket,0.06
44,Art,0.44
45,Travel,0.66
46,Gaming,0.83
47,Music,0.09
48,Music,0.33
49,Travel,0.3
50,Coding,0.57
51,Books,0.68
52,Travel,0.32
53,Coding,0.33
54,Gaming,0.62
55,Gaming,0.3
56,Art,0.8
57,Travel,0.34
58,Music,0.33
59,Gaming,0.93
60,Travel,0.96
61,Cricket,0.64
62,Gaming,0.08
63,Cricket,0.45
64,Art,0.15
65,Gaming,0.78
66,Gaming,0.2
67,Cricket,0.3
68,Gaming,0.28
69,Books,0.61
70,Travel,0.93
71,Art,0.75
72,Coding,0.6
73,Books,0.34
74,Books,0.58
75,Music,0.63
76,Gaming,0.92
77,Music,0.41
78,Cricket,0.23
79,Gaming,0.69
80,Books,0.29
81,Coding,0.42
82,Travel,0.8
83,Coding,0.19
84,Books,0.14
85,Books,0.49
86,Cricket,0.5
87,Gaming,0.37
88,Travel,0.54
89,Music,0.67
90,Cricket,0.99
91,Art,0.9
92,Music,0.74
93,Gaming,0.8
94,Cricket,0.3
95,Cricket,0.66
96,Art,0.73
97,Travel,0.27
98,Art,0.71
99,Gaming,0.86
100,Coding,0.94
101,Music,0.49
102,Coding,0.64
103,Art,0.24
104,Art,0.36
105,Gaming,0.36
106,Coding,0.21
107,Gaming,0.93
108,Coding,0.11
109,Travel,0.08
110,Travel,0.58
111,Books,0.56
112,Coding,0.82
113,Coding,0.39
114,Coding,0.28
115,Coding,0.29
116,Art,0.03
117,Books,0.77
118,Books,0.85
119,Gaming,0.28
120,Gaming,0.27
121,Gaming,0.15
122,Gaming,0.84
123,Music,0.06
124,Books,0.23
125,Music,0.54
126,Gaming,0.76
127,Music,0.32
128,Music,0.68
129,Gaming,0.45
130,Music,0.86
131,Art,0.88
132,Books,0.96
133,Books,0.58
134,Coding,0.72
135,Gaming,0.9
136,Coding,0.02
137,Art,0.11
138,Gaming,0.25
139,Books,0.72
140,Cricket,0.4
141,Music,0.74
142,Travel,0.37
143,Coding,0.85
144,Coding,0.34
145,Cricket,0.88
146,Music,0.89
147,Music,0.16
148,Coding,0.3
149,Music,0.93
150,Art,0.99
151,Books,0.87
152,Books,0.07
153,Travel,0.53
154,Music,0.3
155,Coding,0.71
156,Gaming,0.73
157,Books,0.05
158,Cricket,0.35
159,Books,0.83
160,Books,0.93
161,Music,0.66
162,Cricket,0.55
163,Coding,0.14
164,Cricket,0.95
165,Art,0.2
166,Coding,0.64
167,Books,0.84
168,Travel,0.59
169,Cricket,0.35
170,Coding,0.06
171,Cricket,0.18
172,Books,0.28
173,Travel,0.71
174,Gaming,0.91
175,Gaming,0.26
176,Art,0.45
177,Coding,0.19
178,Music,0.58
179,Art,0.87
180,Cricket,0.37
181,Art,0.32
182,Coding,0.22
183,Art,0.88
184,Cricket,0.64
185,Books,0.95
186,Music,0.58
187,Coding,0.15
188,Art,0.93
189,Cricket,0.94
190,Art,0.51
191,Books,0.92
192,Art,0.1
193,Travel,0.97
194,Music,0.99
195,Cricket,0.59
196,Coding,0.92
197,Coding,0.78
198,Coding,0.6
199,Gaming,0.59
200,Travel,0.09
201,Coding,0.28
202,Books,0.24
203,Books,0.85
204,Art,0.4
205,Travel,0.73
206,Gaming,0.61
207,Travel,0.08
208,Art,0.93
209,Music,0.95
210,Art,0.97
211,Art,0.55
212,Art,0.06
213,Music,0.19
214,Art,0.24
215,Art,0.12
216,Art,0.13
217,Art,0.12
218,Travel,0.72
219,Coding,0.71
220,Travel,0.39
221,Music,0.28
222,Gaming,0.54
223,Art,0.13
224,Coding,0.18
225,Gaming,1.0
226,Coding,0.5
227,Art,0.57
228,Gaming,0.38
229,Gaming,0.73
230,Art,0.67
231,Books,0.2
232,Gaming,0.37
233,Travel,0.95
234,Books,0.15
235,Coding,0.58
236,Art,0.64
237,Travel,0.65
238,Travel,0.52
239,Travel,0.67
240,Books,0.91
241,Books,0.1
242,Art,0.61
243,Travel,0.55
244,Coding,1.0
245,Gaming,0.47
246,Cricket,0.43
247,Books,0.36
248,Music,0.45
249,Books,0.14
250,Travel,0.17
251,Music,0.78
252,Books,0.63
253,Books,0.53
254,Books,0.07
255,Gaming,0.02
256,Books,0.06
257,Cricket,0.77
258,Travel,0.18
259,Books,1.0
260,Travel,0.23
261,Books,0.6
262,Gaming,0.13
263,Art,0.46
264,Cricket,0.18
265,Travel,0.89
266,Music,0.24
267,Books,0.51
268,Cricket,0.43
269,Travel,0.18
270,Cricket,0.91
271,Travel,0.81
272,Gaming,0.3
273,Music,0.61
274,Art,0.5
275,Travel,0.57
276,Music,0.25
277,Music,0.1
278,Cricket,0.81
