Node_ID,Interest,Extraversion
0,Music,0.58
1,Art,0.21
2,Books,0.2
3,Coding,0.23
4,Gaming,0.05
5,Gaming,0.65
6,Cricket,0.31
7,Coding,0.14
8,Cricket,0.57
9,Music,0.92
10,Music,0.81
11,Gaming,0.35
12,Music,0.44
13,Cricket,0.57
14,Art,0.11
15,Travel,0.46
16,Gaming,0.5
17,Books,0.79
18,Gaming,0.49
19,Cricket,0.81
20,Music,0.18
21,Books,0.77
22,Gaming,0.2
23,Coding,0.21
24,Books,0.95
25,Cricket,0.95
26,Music,0.07
27,Coding,0.11
28,Books,0.46
29,Gaming,0.86
30,Cricket,0.89
31,Art,0.84
32,Travel,0.77
33,Art,0.73
34,Coding,0.85
35,Cricket,0.76
36,Travel,0.82
37,Art,0.95
38,Books,0.0
39,Travel,0.09
40,Music,0.42
41,Music,0.62
42,Art,0.21
43,Coding,0.39
44,Art,0.05
45,Travel,0.26
46,Cricket,0.85
47,Gaming,0.63
48,Music,0.61
49,Travel,0.72
50,Gaming,0.11
51,Cricket,0.22
52,Travel,0.98
53,Art,0.69
54,Books,0.42
55,Gaming,0.93
56,Art,0.91
57,Travel,0.49
58,Gaming,0.41
59,Travel,0.02
60,Cricket,0.73
61,Gaming,0.38
62,Books,0.32
63,Coding,0.45
64,Gaming,0.95
65,Travel,0.64
66,Art,0.11
67,Art,0.48
68,Gaming,0.15
69,Coding,0.93
70,Music,0.11
71,Music,0.63
72,Cricket,0.22
73,Gaming,0.88
74,Art,0.99
75,Travel,0.28
76,Gaming,0.81
77,Books,0.2
78,Music,0.36
79,Art,0.22
80,Coding,0.83
81,Gaming,0.38
82,Cricket,0.26
83,Music,0.07
84,Cricket,0.47
85,Music,0.37
86,Cricket,0.22
87,Music,0.88
88,Cricket,0.93
89,Coding,0.95
90,Books,0.75
91,Art,0.3
92,Art,0.63
93,Music,0.48
94,Music,0.73
95,Travel,0.12
96,Books,0.25
97,Travel,0.93
98,Books,0.66
99,Gaming,0.5
100,Gaming,0.14
101,Books,0.81
102,Books,0.24
103,Art,0.74
104,Coding,0.42
105,Music,0.67
106,Travel,0.86
107,Cricket,0.82
108,Cricket,0.53
109,Coding,0.65
110,Travel,0.26
111,Travel,0.61
112,Gaming,0.79
113,Travel,0.14
114,Gaming,0.15
115,Books,0.77
116,Travel,0.87
117,Coding,0.18
118,Music,0.07
119,Cricket,0.43
120,Coding,0.13
121,Art,0.04
122,Gaming,0.87
123,Books,0.74
124,Coding,0.26
125,Cricket,0.22
126,Music,0.69
127,Gaming,0.97
128,Music,0.4
129,Travel,0.32
130,Cricket,0.96
131,Coding,0.18
132,Music,0.81
133,Cricket,0.63
134,Travel,0.95
135,Cricket,0.76
136,Travel,0.36
137,Travel,0.89
138,Coding,0.8
139,Coding,0.13
140,Music,0.04
141,Travel,0.25
142,Gaming,0.52
143,Music,0.93
144,Cricket,0.97
145,Gaming,0.31
146,Art,0.31
147,Books,0.86
148,Travel,0.48
149,Music,0.42
150,Travel,0.7
151,Art,0.4
152,Coding,0.51
153,Books,0.35
154,Gaming,0.91
155,Travel,0.08
156,Books,0.22
157,Cricket,0.03
158,Books,0.56
159,Cricket,0.58
160,Gaming,0.01
161,Books,0.33
162,Travel,0.86
163,Cricket,0.79
164,Gaming,0.82
165,Cricket,0.12
166,Music,0.52
167,Travel,0.49
168,Books,0.19
169,Music,0.05
170,Gaming,0.8
171,Cricket,0.75
172,Cricket,0.87
173,Travel,0.65
174,Travel,0.02
175,Travel,0.68
176,Books,0.56
177,Books,0.83
178,Cricket,0.58
179,Cricket,0.85
180,Gaming,0.5
181,Books,0.13
182,Cricket,0.41
183,Music,0.9
184,Travel,0.6
185,Gaming,0.12
186,Cricket,0.81
187,Art,0.92
188,Music,0.63
189,Travel,0.22
190,Art,0.6
191,Travel,0.01
192,Art,0.09
193,Music,0.16
194,Cricket,0.32
195,Coding,0.89
196,Art,0.63
197,Art,0.25
198,Coding,0.68
199,Coding,0.1
200,Gaming,0.8
201,Coding,0.96
202,Travel,0.87
203,Coding,0.73
204,Gaming,0.28
205,Gaming,0.69
206,Art,0.21
207,Cricket,0.33
208,Books,0.02
209,Books,0.82
210,Gaming,0.77
211,Music,0.1
212,Travel,0.68
213,Cricket,0.47
214,Books,0.13
215,Music,0.8
216,Gaming,0.9
217,Books,0.77
218,Books,0.52
219,Art,0.75
220,Music,0.74
221,Cricket,0.83
222,Cricket,0.86
223,Travel,0.6
224,Cricket,0.37
225,Travel,0.47
226,Travel,0.38
227,Gaming,0.78
228,Gaming,0.68
229,Coding,0.62
230,Music,0.58
231,Cricket,0.34
232,Music,0.3
233,Cricket,0.47
234,Cricket,0.86
235,Travel,0.4
236,Music,0.59
237,Cricket,0.27
238,Books,0.46
239,Music,0.56
240,Books,0.16
241,Art,0.23
242,Cricket,0.35
243,Gaming,0.56
244,Art,0.19
245,Travel,0.7
246,Art,0.73
247,Music,0.27
248,Travel,0.43
249,Books,0.23
250,Gaming,0.18
251,Books,0.34
252,Travel,0.92
253,Books,0.07
254,Art,0.9
255,Gaming,0.96
256,Books,0.77
257,Coding,0.89
258,Travel,0.96
259,Gaming,0.03
260,Music,0.56
261,Cricket,0.1
262,Gaming,0.49
263,Coding,0.2
264,Cricket,0.02
265,Music,0.22
