Node_ID,Interest,Extraversion
0,Gaming,0.42
1,Art,0.96
2,Cricket,0.79
3,Travel,0.23
4,Gaming,0.85
5,Music,0.46
6,Music,0.77
7,Music,0.35
8,Gaming,0.13
9,Books,0.58
10,Books,0.1
11,Cricket,0.77
12,Music,0.18
13,Travel,0.8
14,Music,0.34
15,Art,0.17
16,Cricket,0.6
17,Books,0.97
18,Gaming,0.36
19,Music,0.77
20,Books,0.81
21,Cricket,0.18
22,Travel,0.69
23,Art,0.2
24,Cricket,0.6
25,Coding,0.91
26,Books,0.99
27,Gaming,0.94
28,Art,0.77
29,Cricket,0.92
30,Music,0.54
31,Cricket,0.96
32,Art,0.22
33,Art,0.26
34,Gaming,0.11
35,Art,0.87
36,Art,0.08
37,Coding,0.29
38,Art,0.15
39,Coding,0.73
40,Cricket,0.12
41,Music,0.55
42,Coding,0.48
43,Books,0.34
44,Music,0.98
45,Gaming,0.83
46,Art,0.53
47,Books,0.43
48,Travel,0.93
49,Travel,0.77
50,Coding,0.37
51,Books,0.68
52,Coding,0.66
53,Music,0.89
54,Books,0.76
55,Cricket,0.16
56,Travel,0.18
57,Books,0.04
58,Travel,0.25
59,Travel,0.68
60,Gaming,0.74
61,Music,0.12
62,Coding,0.2
63,Art,0.84
64,Coding,0.62
65,Travel,0.89
66,Coding,0.56
67,Cricket,0.96
68,Cricket,0.67
69,Cricket,0.81
70,Books,0.35
71,Coding,0.7
72,Travel,0.74
73,Music,0.72
74,Gaming,0.94
75,Art,0.55
76,Music,0.8
77,Gaming,0.85
78,Art,0.32
79,Art,0.25
80,Art,0.79
81,Gaming,0.09
82,Travel,0.35
83,Books,0.09
84,Coding,0.65
85,Coding,0.44
86,Art,0.31
87,Cricket,0.18
88,Gaming,0.22
89,Cricket,0.33
90,Music,0.22
91,Books,0.41
92,Coding,0.28
93,Books,0.54
94,Books,0.98
95,Cricket,0.87
96,Gaming,0.86
97,Gaming,0.63
98,Music,0.83
99,Music,0.22
100,Books,0.89
101,Books,0.26
102,Coding,0.71
103,Travel,0.44
104,Music,0.43
105,Music,0.76
106,Gaming,0.08
107,Gaming,0.26
108,Music,0.18
109,Cricket,0.11
110,Music,0.49
111,Art,0.58
112,Coding,0.13
113,Coding,0.05
114,Travel,0.16
115,Music,0.29
116,Coding,0.8
117,Books,0.2
118,Cricket,0.21
119,Travel,0.83
120,Travel,0.84
121,Travel,0.55
122,Music,0.83
123,Coding,0.58
124,Music,0.17
125,Gaming,0.65
126,Music,0.65
127,Books,0.9
128,Art,0.53
129,Music,0.68
130,Art,0.45
131,Coding,0.07
132,Travel,0.19
133,Music,0.22
134,Music,0.27
135,Books,0.34
136,Cricket,0.58
137,Gaming,0.42
138,Cricket,0.9
139,Cricket,0.19
140,Travel,0.36
141,Gaming,0.87
142,Coding,0.54
143,Books,0.1
144,Travel,0.98
145,Music,0.55
146,Coding,0.03
147,Coding,0.81
148,Music,0.42
149,Art,0.29
150,Cricket,0.04
151,Music,0.63
152,Music,0.3
153,Travel,0.78
154,Cricket,0.35
155,Coding,0.28
156,Gaming,0.99
157,Cricket,0.03
158,Books,0.71
159,Gaming,0.03
160,Travel,0.63
161,Books,1.0
162,Coding,0.68
163,Art,0.31
164,Books,0.26
165,Art,0.13
166,Art,0.81
167,Gaming,0.79
168,Coding,0.65
169,Travel,0.73
170,Travel,0.62
171,Art,0.88
172,Cricket,0.61
173,Coding,0.86
174,Coding,0.98
175,Art,0.64
176,Art,0.36
177,Books,0.85
178,Books,0.24
179,Books,0.74
180,Coding,0.7
181,Music,0.59
182,Cricket,0.26
183,Art,0.15
184,Art,0.21
185,Gaming,0.78
186,Art,0.73
187,Cricket,0.74
188,Coding,0.69
189,Art,0.99
190,Art,0.95
191,Music,0.33
192,Music,0.23
193,Gaming,0.08
194,Gaming,0.09
195,Cricket,0.31
196,Art,0.19
197,Coding,0.48
198,Travel,0.02
199,Gaming,0.78
200,Music,0.22
201,Books,0.29
