Node_ID,Interest,Extraversion
0,Music,0.02
1,Music,0.5
2,Gaming,0.25
3,Art,0.58
4,Music,0.66
5,Cricket,0.21
6,Books,0.1
7,Art,0.18
8,Coding,0.63
9,Art,0.41
10,Coding,0.48
11,Art,0.45
12,Travel,0.63
13,Travel,0.57
14,Gaming,0.74
15,Art,0.09
16,Art,0.6
17,Art,0.03
18,Coding,0.95
19,Books,0.37
20,Cricket,0.16
21,Music,0.21
22,Music,0.9
23,Travel,0.59
24,Music,0.19
25,Coding,0.89
26,Books,0.35
27,Gaming,0.36
28,Coding,0.31
29,Books,0.56
30,Art,0.78
31,Books,0.17
32,Coding,0.79
33,Travel,0.51
34,Travel,0.73
35,Coding,0.35
36,Gaming,0.16
37,Books,0.8
38,Books,0.55
39,Cricket,0.47
40,Art,0.11
41,Gaming,0.39
42,Art,0.54
43,Cricket,1.0
44,Art,0.73
45,Books,0.97
46,Music,0.37
47,Art,0.22
48,Art,0.7
49,Music,0.02
50,Coding,0.63
51,Books,0.58
52,Books,0.12
53,Books,0.73
54,Travel,0.21
55,Travel,0.31
56,Books,0.19
57,Gaming,0.95
58,Cricket,0.74
59,Gaming,0.96
60,Travel,0.76
61,Travel,0.74
62,Gaming,0.24
63,Art,0.28
64,Coding,0.65
65,Cricket,0.14
66,Coding,0.79
67,Travel,0.94
68,Art,0.62
69,Travel,0.52
70,Travel,0.63
71,Gaming,0.85
72,Art,0.35
73,Art,0.65
74,Art,0.35
75,Music,0.76
76,Coding,0.59
77,Cricket,0.9
78,Art,0.87
79,Art,0.99
80,Books,0.22
81,Coding,0.22
82,Art,0.04
83,Art,0.7
84,Cricket,0.75
85,Music,0.17
86,Cricket,0.02
87,Books,0.27
88,Cricket,0.68
89,Gaming,0.31
90,Books,0.86
91,Art,0.34
92,Coding,0.4
93,Travel,0.58
94,Travel,0.03
95,Cricket,0.24
96,Coding,0.56
97,Music,0.15
98,Art,0.48
99,Coding,0.21
100,Coding,0.9
101,Art,0.76
102,Cricket,0.52
103,Coding,0.13
104,Coding,0.18
105,Gaming,0.48
106,Cricket,0.26
