Node_ID,Interest,Extraversion
0,Music,0.45
1,Art,0.37
2,Art,0.76
3,Music,0.04
4,Cricket,0.64
5,Travel,0.57
6,Art,0.94
7,Music,0.36
8,Gaming,0.87
9,Music,0.2
10,Music,0.34
11,Gaming,0.26
12,Gaming,0.8
13,Gaming,0.0
14,Coding,0.52
15,Travel,0.13
16,Cricket,0.51
17,Books,0.45
18,Art,0.28
19,Books,0.24
20,Art,0.32
21,Coding,0.65
22,Books,0.96
23,Gaming,0.31
24,Travel,0.06
25,Travel,0.67
26,Coding,0.72
27,Coding,0.1
28,Gaming,0.41
29,Books,0.48
30,Cricket,0.18
31,Books,0.43
32,Travel,0.99
33,Cricket,0.37
34,Coding,0.6
35,Coding,0.35
36,Cricket,0.12
37,Travel,0.62
38,Cricket,0.82
39,Coding,0.39
40,Music,0.29
41,Travel,0.17
42,Coding,0.38
43,Books,0.63
44,Travel,0.91
45,Cricket,0.0
46,Travel,0.69
47,Art,0.27
48,Gaming,0.83
49,Coding,0.27
50,Books,0.3
51,Coding,0.43
52,Music,0.15
53,Coding,0.39
54,Music,0.03
55,Music,0.11
56,Music,0.28
57,Travel,0.13
58,Cricket,0.6
59,Gaming,0.63
60,Gaming,0.57
61,Art,0.6
62,Gaming,0.06
63,Gaming,0.38
64,Cricket,0.85
65,Art,0.68
66,Gaming,0.48
67,Music,0.46
68,Art,0.63
69,Books,0.54
70,Art,0.27
71,Coding,0.12
72,Books,0.95
73,Music,0.46
74,Music,0.45
75,Books,0.42
76,Books,0.69
77,Gaming,0.36
78,Gaming,0.49
79,Music,0.39
80,Music,0.27
81,Gaming,0.75
82,Coding,0.16
83,Books,0.06
84,Art,0.84
85,Books,0.2
86,Travel,0.85
87,Travel,0.66
88,Music,0.11
89,Cricket,0.87
90,Gaming,0.92
91,Coding,0.26
92,Music,0.13
93,Coding,0.92
94,Art,0.73
95,Gaming,0.5
96,Cricket,0.69
97,Art,0.51
98,Cricket,0.37
99,Cricket,0.88
100,Travel,0.8
101,Gaming,0.47
102,Art,0.17
103,Books,0.47
104,Books,0.53
105,Coding,0.96
106,Coding,0.02
107,Cricket,0.17
108,Cricket,0.32
109,Coding,0.72
110,Coding,0.54
111,Cricket,0.55
112,Coding,0.02
113,Music,0.33
114,Travel,0.46
115,Music,0.97
116,Coding,0.55
117,Travel,0.25
118,Music,0.92
119,Art,0.89
120,Gaming,0.93
121,Gaming,0.43
122,Travel,0.98
123,Books,0.8
124,Books,0.66
125,Music,0.43
126,Cricket,0.18
127,Music,0.29
128,Music,0.27
129,Music,0.76
130,Coding,0.23
131,Cricket,0.63
132,Music,0.37
133,Coding,0.85
134,Travel,0.28
135,Gaming,0.29
136,Coding,0.15
137,Gaming,0.65
138,Books,0.48
139,Gaming,0.27
140,Cricket,0.54
141,Music,0.13
142,Cricket,0.92
143,Art,0.15
144,Coding,0.51
145,Travel,0.45
146,Music,0.48
147,Coding,0.72
148,Music,0.3
149,Art,0.21
150,Gaming,0.95
151,Cricket,0.22
152,Travel,0.73
153,Art,0.64
154,Coding,0.16
155,Travel,0.2
156,Cricket,0.16
157,Coding,0.37
158,Books,0.82
159,Art,0.16
160,Gaming,0.97
161,Gaming,0.41
162,Cricket,0.08
163,Books,0.16
164,Travel,0.72
165,Books,0.87
166,Books,0.07
167,Gaming,0.94
168,Travel,0.42
169,Cricket,0.15
170,Travel,0.08
171,Gaming,0.14
172,Travel,0.6
173,Music,0.74
174,Cricket,0.5
175,Music,0.53
176,Music,0.64
177,Coding,0.72
178,Cricket,0.01
179,Cricket,0.95
180,Art,0.77
181,Travel,0.93
182,Coding,0.64
183,Gaming,0.67
184,Books,0.83
185,Travel,0.76
186,Cricket,0.57
187,Travel,0.25
188,Music,0.61
189,Cricket,0.06
190,Cricket,0.85
191,Art,0.14
192,Books,0.77
193,Music,0.16
194,Coding,0.41
195,Coding,0.73
196,Coding,0.13
197,Music,0.27
198,Gaming,0.2
199,Books,0.28
200,Coding,0.72
201,Cricket,0.66
202,Cricket,0.86
203,Coding,0.23
204,Travel,0.68
205,Art,0.9
206,Coding,0.49
207,Art,0.16
208,Gaming,0.9
209,Travel,0.74
210,Gaming,0.1
211,Cricket,0.29
212,Music,0.84
213,Cricket,0.83
214,Art,0.18
215,Art,0.05
216,Books,0.54
217,Gaming,0.82
218,Gaming,0.48
219,Art,0.56
220,Cricket,0.05
221,Books,0.0
222,Travel,0.91
223,Art,0.64
224,Coding,0.46
225,Travel,0.3
226,Gaming,0.12
227,Music,0.07
228,Cricket,0.51
229,Travel,0.37
230,Books,0.4
231,Coding,0.42
232,Travel,0.16
233,Gaming,0.6
234,Music,0.15
235,Books,0.31
236,Gaming,0.51
237,Gaming,0.92
238,Cricket,0.97
239,Coding,0.45
240,Books,0.57
241,Coding,0.45
242,Coding,0.96
243,Gaming,0.17
244,Music,0.04
245,Travel,0.64
246,Books,0.14
247,Travel,0.43
248,Art,0.02
249,Coding,0.09
250,Books,0.26
251,Coding,0.34
252,Music,0.77
253,Travel,0.88
254,Music,0.78
255,Cricket,0.88
256,Coding,0.9
257,Music,0.74
258,Coding,0.95
259,Cricket,0.24
260,Books,0.08
261,Books,0.08
262,Art,0.38
263,Books,0.52
264,Books,0.64
265,Travel,0.34
266,Cricket,0.64
267,Travel,0.08
268,Cricket,0.1
269,Gaming,0.14
270,Travel,0.42
271,Music,0.39
272,Art,0.87
273,Travel,0.98
274,Books,0.87
275,Gaming,0.45
276,Cricket,0.29
277,Coding,0.06
278,Coding,0.74
279,Cricket,0.68
280,Coding,0.88
281,Gaming,0.51
282,Books,0.48
283,Art,0.76
284,Coding,0.99
285,Travel,0.26
286,Travel,0.63
287,Gaming,0.15
288,Gaming,0.24
289,Art,0.71
290,Coding,0.42
291,Cricket,0.31
292,Books,0.44
293,Gaming,0.74
294,Cricket,0.65
295,Gaming,0.11
296,Art,0.49
297,Travel,0.31
298,Books,0.77
299,Cricket,0.79
300,Gaming,0.38
301,Cricket,0.1
302,Gaming,0.98
303,Art,0.89
304,Gaming,0.07
305,Travel,0.34
306,Music,0.01
307,Coding,0.07
308,Travel,0.38
309,Coding,0.63
310,Music,0.03
311,Art,0.66
312,Books,0.9
313,Cricket,0.66
314,Cricket,0.21
315,Gaming,0.77
316,Books,0.34
317,Cricket,0.72
318,Gaming,0.27
319,Music,0.31
320,Coding,0.87
321,Art,0.82
322,Travel,0.43
323,Music,0.04
324,Gaming,0.44
325,Gaming,0.61
326,Cricket,0.85
327,Coding,0.37
328,Gaming,0.1
329,Books,0.58
330,Books,0.08
331,Coding,0.87
332,Coding,0.31
333,Books,0.08
334,Coding,0.88
335,Music,0.11
336,Coding,0.89
337,Books,0.6
338,Art,0.13
339,Cricket,0.23
340,Books,0.22
341,Cricket,0.76
342,Cricket,0.22
343,Coding,0.25
344,Art,0.56
345,Travel,0.41
346,Coding,0.91
347,Music,0.7
348,Books,0.22
349,Cricket,0.59
350,Cricket,0.97
351,Books,0.3
352,Art,0.89
353,Travel,0.33
354,Gaming,0.45
355,Travel,0.63
356,Cricket,0.52
357,Art,0.18
358,Music,0.77
359,Cricket,0.18
360,Coding,0.37
361,Music,0.2
362,Coding,0.65
363,Books,0.51
364,Cricket,0.68
365,Gaming,0.91
366,Cricket,0.36
367,Cricket,0.4
368,Coding,0.54
369,Books,0.24
370,Art,0.66
371,Travel,0.94
372,Travel,0.76
373,Coding,0.13
374,Cricket,0.85
375,Cricket,0.2
376,Gaming,0.18
377,Music,0.99
378,Travel,0.7
379,Gaming,0.01
380,Coding,0.37
381,Gaming,0.79
382,Music,0.3
383,Books,0.12
384,Books,0.74
385,Cricket,0.07
386,Gaming,0.72
387,Gaming,0.49
388,Art,0.99
389,Gaming,0.19
390,Music,0.26
391,Books,0.01
392,Gaming,0.43
393,Books,0.94
394,Music,0.79
395,Travel,0.89
396,Travel,0.97
397,Coding,0.33
398,Art,0.13
399,Cricket,0.72
400,Music,0.61
401,Books,0.97
402,Music,0.97
403,Gaming,0.01
404,Music,0.47
405,Travel,0.17
406,Travel,0.88
407,Gaming,0.18
408,Music,0.6
409,Books,0.15
410,Music,0.24
411,Travel,0.71
412,Travel,0.83
413,Coding,0.85
414,Cricket,0.69
415,Gaming,0.03
416,Books,0.08
417,Music,0.57
418,Coding,0.83
419,Books,0.31
420,Gaming,0.7
421,Travel,0.7
422,Coding,1.0
423,Music,0.79
424,Gaming,0.5
425,Cricket,0.64
426,Books,0.18
427,Travel,0.91
428,Cricket,0.93
429,Travel,0.69
430,Books,0.5
431,Art,0.08
432,Cricket,0.18
433,Music,0.68
434,Gaming,0.52
435,Travel,0.17
436,Art,0.14
437,Coding,0.41
438,Travel,0.92
439,Cricket,0.01
