Node_ID,Interest,Extraversion
0,Gaming,0.75
1,Coding,0.76
2,Music,0.59
3,Travel,0.35
4,Art,0.87
5,Art,0.09
6,Books,0.51
7,Books,0.43
8,Gaming,0.62
9,Cricket,0.93
10,Cricket,0.78
11,Music,0.08
12,Travel,0.4
13,Music,0.57
14,Books,0.41
15,Art,0.32
16,Travel,0.64
17,Art,0.71
18,Books,0.06
19,Coding,0.08
20,Coding,0.72
21,Art,0.08
22,Travel,0.28
23,Art,0.71
24,Music,0.24
25,Books,0.4
26,Books,0.08
27,Cricket,0.09
28,Travel,0.08
29,Coding,0.2
30,Music,0.88
31,Cricket,0.05
32,Travel,0.91
33,Coding,0.44
34,Books,0.84
35,Cricket,0.55
36,Cricket,0.11
37,Gaming,0.69
38,Coding,0.67
39,Music,0.21
40,Books,0.89
41,Travel,0.19
42,Travel,0.33
43,Art,0.87
44,Books,0.45
45,Gaming,0.34
46,Cricket,0.76
47,Music,0.79
48,Cricket,0.35
49,Coding,0.39
50,Books,0.67
51,Cricket,0.43
52,Coding,0.35
53,Art,0.19
54,Gaming,0.93
55,Music,0.02
56,Books,0.44
57,Music,0.21
58,Music,0.03
59,Music,0.6
60,Cricket,0.77
61,Travel,0.54
62,Books,0.02
63,Gaming,0.74
64,Cricket,0.26
65,Music,0.64
66,Gaming,0.35
67,Cricket,0.12
68,Books,0.73
69,Travel,0.8
70,Gaming,0.71
71,Cricket,0.74
72,Cricket,0.97
73,Art,0.74
74,Music,0.71
75,Cricket,0.39
76,Books,0.18
77,Gaming,0.82
78,Music,0.75
79,Travel,0.76
80,Music,0.44
81,Coding,0.54
82,Books,0.32
83,Books,0.69
84,Travel,0.59
85,Coding,0.29
86,Cricket,0.0
87,Gaming,0.97
88,Music,0.63
89,Books,0.34
90,Travel,0.27
91,Gaming,0.93
92,Gaming,0.36
93,Music,0.79
94,Art,0.14
95,Travel,0.77
96,Music,0.4
97,Travel,0.69
98,Art,0.91
99,Music,0.11
100,Art,0.06
101,Books,0.59
102,Books,0.01
103,Coding,0.35
104,Books,0.55
105,Music,0.53
106,Books,0.86
107,Music,0.13
108,Music,0.0
109,Books,0.62
110,Cricket,0.5
111,Coding,0.53
112,Gaming,0.05
113,Coding,0.71
114,Gaming,0.15
115,Gaming,0.4
116,Books,0.76
117,Music,0.76
118,Books,0.78
119,Gaming,0.26
120,Music,0.8
121,Art,0.59
122,Travel,0.65
123,Music,0.98
124,Coding,0.04
125,Books,0.19
126,Art,0.42
127,Travel,0.76
128,Travel,0.13
129,Coding,0.2
130,Books,0.21
131,Music,0.1
132,Music,0.35
133,Music,0.94
134,Coding,0.03
135,Music,0.28
136,Art,0.15
137,Books,0.32
138,Books,0.63
139,Gaming,0.91
140,Gaming,0.29
141,Gaming,0.41
142,Art,0.65
143,Cricket,0.05
144,Books,0.63
145,Gaming,0.67
146,Books,0.57
147,Music,0.07
148,Travel,0.11
149,Gaming,0.25
150,Music,0.56
151,Travel,0.66
152,Gaming,0.11
153,Music,1.0
154,Cricket,0.67
155,Art,0.42
156,Travel,1.0
157,Gaming,0.05
158,Gaming,0.84
159,Coding,0.85
160,Coding,0.58
161,Travel,0.81
162,Art,0.9
163,Gaming,0.48
164,Music,0.08
165,Books,0.74
166,Music,0.78
167,Art,0.5
168,Travel,0.48
169,Coding,0.95
170,Travel,0.4
171,Travel,0.03
172,Cricket,0.58
173,Cricket,0.51
174,Music,0.75
175,Art,0.5
176,Gaming,0.1
177,Cricket,0.38
178,Cricket,0.09
179,Cricket,0.1
180,Coding,0.7
181,Art,0.03
182,Music,0.5
183,Music,0.4
184,Travel,0.23
185,Gaming,0.07
186,Gaming,0.0
187,Gaming,0.75
188,Coding,0.39
189,Art,0.07
190,Travel,0.27
191,Art,0.02
192,Music,0.72
193,Art,0.35
194,Music,0.73
195,Travel,0.29
196,Music,0.66
197,Travel,0.07
198,Gaming,0.78
199,Books,0.28
200,Coding,0.67
201,Gaming,0.88
202,Gaming,0.27
203,Coding,0.47
204,Music,0.57
205,Gaming,0.05
206,Travel,0.46
207,Cricket,0.73
208,Music,0.16
209,Music,0.2
210,Coding,0.24
211,Books,0.78
212,Cricket,0.41
213,Travel,0.76
214,Art,0.86
215,Books,0.41
216,Coding,0.87
217,Coding,0.21
218,Art,0.8
219,Books,0.33
220,Music,0.27
221,Music,0.33
222,Coding,0.3
223,Books,0.8
224,Books,0.46
225,Music,0.47
226,Travel,0.78
227,Cricket,0.01
228,Art,0.55
229,Books,0.55
230,Books,0.98
231,Coding,0.56
232,Books,0.97
233,Art,0.28
234,Art,0.62
235,Cricket,0.06
236,Gaming,0.39
237,Art,0.6
238,Books,0.35
239,Coding,0.82
240,Books,0.63
241,Coding,0.98
242,Books,0.62
243,Coding,0.58
244,Art,0.89
245,Books,0.08
246,Coding,0.37
247,Books,0.27
248,Coding,0.08
249,Books,0.58
250,Gaming,0.16
251,Music,0.55
252,Coding,0.95
253,Books,0.15
254,Cricket,0.09
