Node_ID,Interest,Extraversion
0,Coding,0.87
1,Music,0.72
2,Travel,0.11
3,Travel,0.43
4,Art,0.44
5,Books,0.93
6,Music,0.07
7,Music,0.12
8,Music,0.59
9,Books,0.68
10,Music,0.06
11,Cricket,0.03
12,Art,0.06
13,Art,0.61
14,Books,0.12
15,Travel,0.94
16,Gaming,0.1
17,Cricket,0.1
18,Coding,0.56
19,Gaming,0.5
20,Coding,0.82
21,Travel,0.17
22,Books,0.79
23,Music,0.71
24,Travel,0.01
25,Books,0.69
26,Travel,0.54
27,Cricket,0.24
28,Travel,0.75
29,Gaming,0.01
30,Art,0.7
31,Books,0.68
32,Music,0.37
33,Art,0.53
34,Music,0.03
35,Cricket,0.66
36,Music,0.73
37,Music,0.51
38,Music,0.39
39,Cricket,0.85
40,Art,0.63
41,Coding,0.83
42,Art,0.35
43,Gaming,0.83
44,Coding,0.59
45,Cricket,0.16
46,Books,0.36
47,Coding,0.16
48,Music,0.49
49,Cricket,0.91
50,Books,0.25
51,Music,0.23
52,Books,0.16
53,Gaming,0.14
54,Coding,0.15
55,Books,0.01
56,Books,0.26
57,Travel,0.31
58,Cricket,0.08
59,Music,0.28
60,Coding,0.04
61,Music,0.76
62,Books,0.3
63,Cricket,0.46
64,Travel,0.99
65,Music,0.3
66,Travel,0.33
67,Art,0.61
68,Gaming,0.62
69,Books,0.46
70,Music,0.69
71,Coding,0.85
72,Gaming,0.03
73,Books,0.68
74,Cricket,0.92
75,Music,0.69
76,Art,0.27
77,Cricket,0.31
78,Art,0.87
79,Music,0.51
80,Travel,0.92
81,Cricket,0.45
82,Gaming,0.79
83,Cricket,0.52
84,Cricket,0.27
85,Gaming,0.03
86,Cricket,0.12
87,Cricket,0.72
88,Art,0.24
89,Music,0.14
90,Cricket,0.26
91,Books,0.87
92,Cricket,0.5
93,Music,0.16
94,Gaming,0.66
95,Art,0.61
96,Travel,0.39
97,Books,0.31
98,Cricket,0.09
99,Books,0.29
100,Cricket,0.05
101,Music,0.18
102,Gaming,0.66
103,Art,0.13
104,Books,0.39
105,Cricket,0.95
106,Books,0.02
107,Music,0.05
108,Gaming,0.24
109,Music,0.8
110,Coding,0.76
111,Cricket,0.02
112,Books,0.16
113,Art,0.5
114,Gaming,0.73
115,Art,0.6
116,Art,0.45
117,Coding,0.79
118,Gaming,0.66
119,Art,0.62
120,Cricket,0.45
121,Travel,0.42
122,Gaming,0.7
123,Books,0.63
124,Gaming,0.04
125,Coding,0.09
126,Music,0.39
127,Cricket,0.41
128,Gaming,0.71
129,Books,0.1
130,Cricket,0.74
131,Art,0.79
132,Travel,0.18
133,Travel,0.42
134,Travel,0.56
135,Travel,0.69
136,Travel,0.91
137,Music,0.54
138,Cricket,0.59
