Node_ID,Interest,Extraversion
0,Coding,0.93
1,Travel,0.61
2,Cricket,0.02
3,Art,0.16
4,Gaming,0.14
5,Coding,0.99
6,Travel,0.89
7,Cricket,0.18
8,Books,0.53
9,Art,0.65
10,Books,0.83
11,Art,0.39
12,Art,0.43
13,Gaming,0.2
14,Gaming,0.3
15,Cricket,0.9
16,Art,0.97
17,Music,0.05
18,Music,0.6
19,Coding,0.47
20,Coding,0.9
21,Books,0.42
22,Travel,0.26
23,Coding,0.74
24,Gaming,0.88
25,Travel,0.74
26,Art,0.32
27,Gaming,0.05
28,Books,0.45
29,Cricket,0.38
30,Cricket,0.77
31,Travel,0.15
32,Cricket,0.95
33,Travel,0.23
34,Music,0.96
35,Travel,0.32
36,Music,0.08
37,Art,0.36
38,Cricket,0.46
39,Art,0.64
40,Gaming,0.52
41,Music,0.32
42,Music,0.2
43,Music,0.42
44,Coding,0.73
45,Travel,0.57
46,Coding,0.3
47,Travel,0.34
48,Cricket,0.54
49,Travel,0.36
50,Cricket,0.11
51,Books,0.89
52,Music,0.89
53,Art,0.69
54,Music,0.03
55,Gaming,0.13
56,Cricket,0.18
57,Gaming,0.23
58,Music,0.77
59,Music,0.28
60,Books,0.59
61,Art,0.81
62,Books,0.68
63,Books,0.13
64,Gaming,0.55
65,Art,0.62
66,Coding,0.08
67,Coding,0.34
68,Travel,0.59
69,Cricket,0.63
70,Cricket,0.87
71,Books,0.26
72,Gaming,0.66
73,Art,0.15
74,Travel,0.59
75,Books,0.67
76,Travel,0.5
77,Music,0.82
78,Gaming,0.84
79,Coding,0.48
80,Cricket,0.63
81,Gaming,0.9
82,Gaming,0.51
83,Books,0.57
84,Books,0.37
85,Gaming,0.35
86,Books,0.43
87,Music,0.11
88,Art,0.93
89,Gaming,0.69
90,Art,0.89
91,Travel,0.75
92,Travel,0.89
93,Books,0.0
94,Art,0.07
95,Coding,0.12
96,Art,0.22
97,Cricket,0.67
98,Gaming,0.62
99,Coding,0.06
100,Gaming,0.06
101,Cricket,0.52
102,Gaming,0.58
103,Books,0.07
104,Music,0.46
105,Cricket,0.33
106,Gaming,0.02
107,Art,0.15
108,Music,0.54
109,Gaming,0.67
110,Music,0.73
111,Gaming,0.23
112,Coding,0.07
113,Art,0.45
114,Coding,0.12
115,Cricket,0.77
116,Travel,0.01
117,Cricket,0.44
118,Music,0.3
119,Music,0.55
120,Gaming,0.14
121,Gaming,0.77
122,Books,0.79
123,Cricket,0.78
124,Books,0.42
125,Cricket,0.04
126,Gaming,0.36
127,Coding,0.97
128,Travel,0.27
129,Gaming,0.03
130,Books,0.9
131,Gaming,0.23
132,Art,0.5
133,Cricket,0.73
134,Music,0.37
135,Music,0.81
136,Music,0.53
137,Coding,0.09
138,Travel,0.79
139,Books,0.62
140,Books,1.0
141,Books,0.66
142,Gaming,0.71
143,Music,0.68
144,Travel,0.74
145,Music,0.74
146,Music,0.79
147,Books,0.64
148,Books,0.08
149,Coding,0.97
150,Cricket,0.01
151,Travel,0.72
152,Gaming,0.28
153,Coding,0.98
154,Music,0.98
155,Travel,0.59
156,Travel,0.97
157,Books,0.26
158,Art,0.12
159,Music,0.58
160,Gaming,0.63
161,Gaming,0.52
162,Cricket,0.16
163,Travel,0.33
164,Art,0.07
165,Books,0.91
166,Music,0.79
167,Music,0.49
168,Art,0.46
169,Music,0.9
170,Gaming,0.25
171,Travel,0.03
172,Music,0.58
173,Gaming,0.67
174,Music,0.74
175,Music,0.52
176,Cricket,0.35
177,Cricket,0.3
178,Art,0.61
179,Travel,0.89
180,Gaming,0.98
181,Travel,0.74
182,Travel,0.44
183,Cricket,0.5
184,Coding,0.24
185,Gaming,0.22
186,Coding,0.23
187,Music,0.31
188,Cricket,0.78
189,Art,0.69
190,Gaming,0.67
191,Music,0.2
192,Travel,0.39
193,Travel,0.71
194,Music,0.5
195,Art,0.1
196,Coding,1.0
197,Coding,0.37
198,Cricket,0.6
199,Art,0.44
200,Coding,0.05
201,Coding,0.83
202,Cricket,0.88
203,Cricket,0.84
204,Music,0.89
205,Cricket,0.71
206,Cricket,0.19
207,Gaming,0.45
208,Cricket,0.92
209,Gaming,0.24
210,Travel,0.56
211,Coding,0.35
212,Art,0.16
213,Gaming,0.18
214,Coding,0.76
215,Gaming,0.07
216,Coding,0.25
217,Cricket,0.82
218,Cricket,0.63
219,Art,0.31
220,Art,0.31
221,Cricket,0.54
222,Art,0.26
223,Gaming,0.52
224,Coding,0.09
225,Cricket,0.2
226,Art,0.8
227,Art,0.56
228,Gaming,0.07
229,Cricket,0.8
230,Gaming,0.09
231,Travel,0.54
232,Music,0.16
233,Cricket,0.4
234,Cricket,0.3
235,Cricket,0.62
236,Art,0.21
237,Cricket,0.04
238,Coding,0.07
239,Coding,0.05
240,Travel,0.22
241,Art,0.36
242,Travel,0.46
243,Cricket,0.66
244,Music,0.29
245,Books,1.0
246,Music,0.68
247,Coding,0.35
248,Music,0.78
249,Art,0.47
250,Gaming,0.94
251,Travel,0.33
252,Travel,0.87
253,Art,0.25
254,Cricket,0.32
255,Travel,0.49
256,Coding,0.26
257,Cricket,0.97
258,Music,0.4
259,Cricket,1.0
260,Travel,0.13
261,Books,0.12
262,Cricket,0.14
263,Gaming,0.2
264,Art,0.01
265,Books,0.97
266,Music,0.99
267,Coding,0.91
268,Travel,0.89
269,Art,0.59
270,Gaming,0.72
271,Travel,0.61
272,Music,0.17
273,Gaming,0.16
274,Coding,0.84
275,Cricket,0.14
276,Coding,0.75
277,Gaming,0.47
278,Coding,0.95
279,Music,0.4
280,Gaming,0.66
281,Books,0.35
282,Books,0.47
283,Books,0.84
284,Music,0.89
285,Travel,0.57
286,Music,0.71
287,Cricket,0.29
288,Travel,0.19
289,Travel,0.75
290,Books,0.6
291,Gaming,0.65
292,Music,0.06
293,Coding,0.19
294,Coding,0.84
295,Books,0.85
296,Coding,0.35
297,Books,1.0
298,Coding,0.17
299,Coding,0.77
300,Art,0.48
301,Art,0.46
302,Cricket,0.74
303,Cricket,0.24
304,Books,0.4
305,Music,0.34
306,Art,0.43
307,Gaming,0.53
308,Art,0.42
309,Books,0.74
310,Gaming,0.55
311,Travel,0.96
312,Travel,0.43
313,Music,0.84
314,Coding,0.34
315,Music,0.89
316,Coding,0.59
317,Travel,0.49
318,Music,0.68
319,Music,0.66
320,Cricket,0.48
321,Cricket,0.48
322,Coding,0.25
323,Coding,0.37
324,Cricket,0.44
325,Music,0.57
326,Gaming,0.3
327,Cricket,0.43
328,Travel,0.49
329,Art,0.12
330,Coding,0.61
331,Coding,0.72
332,Music,0.34
333,Coding,0.24
334,Cricket,0.89
335,Gaming,0.34
336,Coding,0.7
337,Cricket,0.96
338,Travel,0.21
339,Books,0.74
340,Books,0.44
341,Art,0.4
342,Books,0.31
343,Art,0.83
344,Music,0.58
345,Music,0.53
346,Music,0.41
347,Coding,0.81
348,Music,0.5
349,Books,0.97
350,Books,0.11
351,Gaming,0.85
352,Books,0.25
353,Books,0.68
354,Travel,0.01
355,Cricket,0.89
356,Gaming,0.24
357,Music,0.26
358,Travel,0.21
