node,betweenness
0,360.129337
1,446.552247
2,449.125012
3,356.358854
4,439.161196
5,426.330317
6,423.709305
7,462.961263
8,380.961305
9,493.519230
10,503.519034
11,274.464012
12,319.387513
13,512.040707
14,534.783958
15,353.221236
16,624.175022
17,577.973048
18,332.713737
19,470.066380
20,451.294595
21,533.063859
22,570.828544
23,538.321524
24,398.306871
25,477.341516
26,262.185606
27,523.595626
28,407.405253
29,444.166119
30,431.306688
31,457.843725
32,426.075960
33,410.857202
34,383.639387
35,393.735783
36,358.548265
37,247.012528
38,467.966651
39,522.285206
40,381.741252
41,748.145146
42,531.379763
43,478.135741
44,589.384815
45,386.372770
46,476.285521
47,401.732139
48,522.480318
49,493.993790
50,371.747421
51,543.060756
52,410.860423
53,524.648932
54,383.592351
55,414.998484
56,392.086227
57,375.552173
58,543.850096
59,587.489607
60,485.363756
61,463.571172
62,478.034751
63,498.295886
64,444.316687
65,497.473560
66,443.140308
67,553.817186
68,361.523032
69,469.616677
70,574.092570
71,369.178171
72,436.656992
73,634.754240
74,452.226299
75,588.704878
76,411.779753
77,512.121282
78,503.854349
79,425.045469
80,430.664649
81,347.598422
82,397.076458
83,508.241083
84,359.528431
85,374.176109
86,326.677937
87,405.762355
88,700.721354
89,497.840540
90,376.621914
91,656.541495
92,330.324468
93,522.639569
94,506.341201
95,268.781949
96,475.870644
97,357.420730
98,366.888525
99,409.042591
100,401.824535
101,561.202667
102,372.692707
103,498.019602
104,443.723024
105,430.816151
106,437.642264
107,537.675828
108,462.131766
109,374.050802
110,639.504548
111,537.082811
112,576.552115
113,416.645029
114,474.872753
115,328.477609
116,475.893703
117,520.451422
118,435.902894
119,343.102045
120,498.996537
121,377.723736
122,379.275451
123,470.823053
124,373.409319
125,598.078528
126,449.557241
127,356.499772
128,451.847340
129,509.269861
130,456.825766
131,397.302342
132,358.933342
133,511.116067
134,506.531420
135,313.930015
136,388.895339
137,384.234310
138,415.225518
139,404.520468
140,336.781188
141,342.229156
142,535.972602
143,421.793208
144,358.160400
145,461.176619
146,481.000370
147,380.190646
148,444.986385
149,502.791035
150,363.268814
151,552.350958
152,585.107565
153,329.219059
154,457.231861
155,383.802142
156,509.848299
157,434.941434
158,352.677053
159,558.579171
160,432.460405
161,486.584540
162,570.638406
163,498.342019
164,410.586788
165,373.963387
166,467.254617
167,411.156110
168,517.110263
169,488.204256
170,469.154386
171,285.511333
172,300.323381
173,532.982121
174,453.001060
175,490.373693
176,579.342533
177,452.840605
178,458.222938
179,540.403549
180,577.788176
181,355.777915
182,456.704947
183,489.026537
184,444.236271
185,349.080711
186,535.497596
187,558.925109
188,519.168706
189,498.889882
190,390.185210
191,427.003651
192,390.097115
193,508.070063
194,303.536331
195,319.788801
196,419.643835
197,422.370183
198,463.678164
199,471.227366
200,509.899618
201,418.648404
202,380.062550
203,420.132306
204,552.382775
205,391.143942
206,433.217658
207,456.802924
208,448.304317
209,365.336236
210,404.109841
211,496.105025
212,504.686880
213,465.187246
214,505.006977
215,535.629811
216,644.400521
217,405.757707
218,459.728531
219,413.202094
220,405.014106
221,449.051293
222,332.542592
223,456.017461
