node,closeness
0,0.523585
1,0.526344
2,0.526899
3,0.522763
4,0.526621
5,0.526344
6,0.526066
7,0.527177
8,0.524409
9,0.528292
10,0.528013
11,0.520312
12,0.522490
13,0.528292
14,0.528571
15,0.523585
16,0.531100
17,0.529692
18,0.523037
19,0.526899
20,0.526066
21,0.528571
22,0.529412
23,0.529131
24,0.525513
25,0.527734
26,0.519771
27,0.529412
28,0.524961
29,0.525237
30,0.525789
31,0.526899
32,0.525789
33,0.524961
34,0.524134
35,0.524961
36,0.523311
37,0.518961
38,0.526899
39,0.528571
40,0.524134
41,0.534797
42,0.528851
43,0.527177
44,0.530536
45,0.524134
46,0.527177
47,0.525237
48,0.528571
49,0.527177
50,0.523859
51,0.529131
52,0.525513
53,0.528851
54,0.524685
55,0.525789
56,0.525513
57,0.523859
58,0.529692
59,0.530255
60,0.527455
61,0.527177
62,0.527177
63,0.527734
64,0.526621
65,0.528292
66,0.526344
67,0.529412
68,0.523585
69,0.527455
70,0.530255
71,0.524134
72,0.526066
73,0.531383
74,0.526066
75,0.530255
76,0.525237
77,0.528292
78,0.528292
79,0.525513
80,0.525789
81,0.523037
82,0.524961
83,0.528013
84,0.523859
85,0.523859
86,0.522490
87,0.525237
88,0.533369
89,0.527734
90,0.523585
91,0.531949
92,0.522490
93,0.528571
94,0.528292
95,0.520584
96,0.527177
97,0.523585
98,0.523585
99,0.524961
100,0.524685
101,0.529973
102,0.523859
103,0.528013
104,0.526344
105,0.526344
106,0.525789
107,0.529131
108,0.526344
109,0.524134
110,0.532516
111,0.529131
112,0.530255
113,0.525513
114,0.527177
115,0.521944
116,0.526899
117,0.528571
118,0.526344
119,0.523037
120,0.527734
121,0.523859
122,0.524409
123,0.527177
124,0.523859
125,0.530536
126,0.527177
127,0.523311
128,0.526344
129,0.528292
130,0.527177
131,0.524961
132,0.523859
133,0.528851
134,0.528013
135,0.521671
136,0.524685
137,0.524134
138,0.525237
139,0.525237
140,0.522763
141,0.523037
142,0.529131
143,0.524961
144,0.523585
145,0.526899
146,0.527455
147,0.523859
148,0.526344
149,0.528292
150,0.523585
151,0.529412
152,0.529973
153,0.522763
154,0.527177
155,0.524409
156,0.528292
157,0.525789
158,0.523311
159,0.529692
160,0.525789
161,0.527455
162,0.529692
163,0.527455
164,0.525237
165,0.524409
166,0.527177
167,0.525237
168,0.528571
169,0.527734
170,0.527177
171,0.521127
172,0.521399
173,0.528851
174,0.526344
175,0.527734
176,0.530255
177,0.526066
178,0.527177
179,0.529131
180,0.529973
181,0.523311
182,0.526621
183,0.527734
184,0.526066
185,0.523037
186,0.528851
187,0.529412
188,0.528292
189,0.527734
190,0.524961
191,0.525789
192,0.524685
193,0.528292
194,0.521671
195,0.521671
196,0.525513
197,0.525789
198,0.526899
199,0.527455
200,0.528292
201,0.525513
202,0.524134
203,0.525513
204,0.528571
205,0.524409
206,0.525789
207,0.527177
208,0.526066
209,0.523859
210,0.524961
211,0.527734
212,0.528292
213,0.526621
214,0.528292
215,0.528851
216,0.531949
217,0.524409
218,0.526899
219,0.525237
220,0.524961
221,0.526621
222,0.522763
223,0.527177
224,0.521944
225,0.529692
226,0.525237
227,0.529973
228,0.526066
229,0.526066
230,0.521944
231,0.524961
232,0.526344
233,0.525237
234,0.520584
235,0.530818
236,0.522763
237,0.528013
238,0.530818
239,0.524409
240,0.527734
241,0.520855
242,0.532232
243,0.525789
244,0.527177
245,0.528013
246,0.524409
247,0.528013
248,0.526899
249,0.525789
250,0.524134
251,0.521944
252,0.523037
253,0.527734
254,0.524961
255,0.526344
256,0.530255
257,0.529131
258,0.524961
259,0.529131
260,0.523585
261,0.521944
262,0.522490
263,0.524409
264,0.528851
265,0.523585
266,0.524961
267,0.526899
268,0.529973
269,0.528013
270,0.524685
271,0.529692
272,0.526899
273,0.522763
274,0.529973
275,0.530818
276,0.520855
277,0.524961
278,0.529692
279,0.528851
280,0.525789
281,0.523859
282,0.524685
283,0.527734
284,0.526899
285,0.526066
286,0.528571
287,0.528571
288,0.524409
289,0.525789
290,0.523585
291,0.529131
292,0.527734
293,0.523311
294,0.527177
295,0.524134
296,0.520042
297,0.524409
298,0.526621
299,0.523311
300,0.520042
301,0.526344
302,0.529692
303,0.526899
304,0.528292
305,0.529692
306,0.523585
307,0.524409
308,0.524134
309,0.524961
310,0.525789
311,0.524961
312,0.522490
313,0.525789
314,0.531100
315,0.527734
316,0.527455
317,0.529131
318,0.520584
319,0.528013
320,0.527734
321,0.526344
322,0.527455
323,0.524134
324,0.530536
325,0.525237
326,0.531666
327,0.531100
328,0.527177
329,0.529412
330,0.527177
331,0.527455
332,0.520584
333,0.525789
334,0.525237
335,0.530255
336,0.527734
337,0.528013
338,0.528851
339,0.525237
340,0.528292
341,0.528851
342,0.525237
343,0.534797
344,0.528851
345,0.526899
346,0.526344
347,0.532516
348,0.527177
349,0.523037
350,0.524134
351,0.529412
352,0.523311
353,0.523037
354,0.524409
355,0.520312
356,0.529973
357,0.524409
358,0.528013
359,0.525237
360,0.524685
361,0.524961
362,0.526066
363,0.525789
364,0.526621
365,0.528571
366,0.526344
367,0.526621
368,0.526899
369,0.531949
370,0.524409
371,0.520855
372,0.528013
373,0.524409
374,0.524134
375,0.525789
376,0.528851
377,0.525789
378,0.528013
379,0.526899
380,0.525789
381,0.525513
382,0.533369
383,0.522216
384,0.525237
385,0.529692
386,0.524961
387,0.528571
388,0.527177
389,0.528292
390,0.520855
391,0.526066
392,0.531100
393,0.524409
394,0.529131
395,0.527734
396,0.523037
397,0.526899
398,0.527734
399,0.526344
400,0.523585
401,0.526344
402,0.524961
403,0.523311
404,0.526899
405,0.528851
406,0.529692
407,0.524961
408,0.524961
409,0.518422
410,0.528292
411,0.524961
412,0.525513
413,0.526066
414,0.526344
415,0.527455
416,0.525513
417,0.526344
418,0.527177
419,0.528292
420,0.534797
421,0.528013
422,0.523311
423,0.527177
424,0.523311
425,0.524134
426,0.524961
427,0.529973
428,0.529412
429,0.528013
430,0.526899
431,0.526621
432,0.530536
433,0.529131
434,0.522763
435,0.523585
436,0.521944
437,0.521944
438,0.520042
439,0.526066
440,0.523585
441,0.522490
442,0.525513
443,0.528013
444,0.522490
445,0.526621
446,0.525237
447,0.528571
448,0.526621
449,0.526344
450,0.525237
451,0.522490
452,0.529692
453,0.529692
454,0.531949
455,0.529412
456,0.524961
457,0.528571
458,0.521944
459,0.525237
460,0.523311
461,0.524134
462,0.521671
463,0.526899
464,0.526344
465,0.526066
466,0.529692
467,0.527177
468,0.528571
469,0.525513
470,0.527455
471,0.524961
472,0.531100
473,0.524961
474,0.529973
475,0.526899
476,0.521127
477,0.529973
478,0.523585
479,0.528851
480,0.526344
481,0.526066
482,0.524685
483,0.520855
484,0.528851
485,0.526621
486,0.526621
487,0.527177
488,0.524961
489,0.527455
490,0.527734
491,0.523311
492,0.522490
493,0.526621
494,0.529692
495,0.521127
496,0.526344
497,0.527734
498,0.523859
499,0.527177
500,0.526621
501,0.521944
502,0.528571
503,0.526344
504,0.523037
505,0.520042
506,0.525513
507,0.524409
508,0.522763
509,0.526899
510,0.528292
511,0.526621
