node,closeness
0,0.191783
1,0.197431
2,0.186555
3,0.188597
4,0.208038
5,0.193492
6,0.202514
7,0.185446
8,0.194661
9,0.195652
10,0.189744
11,0.195041
12,0.181307
13,0.183572
14,0.183842
15,0.181802
16,0.178234
17,0.178457
18,0.179547
19,0.181603
20,0.193943
21,0.184726
22,0.183303
23,0.187009
24,0.199242
25,0.202719
26,0.192374
27,0.187782
28,0.201615
29,0.201533
30,0.197119
31,0.188348
32,0.186624
33,0.194018
34,0.193230
35,0.195117
36,0.186974
37,0.186520
38,0.201452
39,0.197939
40,0.190068
41,0.193792
42,0.198175
43,0.204965
44,0.195346
45,0.188029
46,0.198766
47,0.191196
48,0.191379
49,0.190431
50,0.196615
51,0.203379
52,0.195806
53,0.196113
54,0.209962
55,0.208168
56,0.210272
57,0.203255
58,0.199561
59,0.208429
60,0.196964
61,0.204545
62,0.193567
63,0.198293
64,0.207735
65,0.195729
66,0.196692
67,0.196692
68,0.202925
69,0.204044
70,0.198057
71,0.197704
72,0.201615
73,0.203753
74,0.194131
75,0.191673
76,0.192597
77,0.206320
78,0.195576
79,0.193155
80,0.197353
81,0.200925
82,0.197822
83,0.195155
84,0.188776
85,0.188918
86,0.192115
87,0.185515
88,0.188491
89,0.192523
90,0.195690
91,0.196692
92,0.187219
93,0.197158
94,0.193717
95,0.199361
96,0.194396
97,0.192857
98,0.202555
99,0.200844
100,0.204002
101,0.199561
102,0.200925
103,0.207175
104,0.200482
105,0.200281
106,0.207347
107,0.205429
108,0.210759
109,0.205218
110,0.208385
111,0.199361
112,0.191013
113,0.191526
114,0.191526
115,0.189492
116,0.187184
117,0.185000
118,0.185515
119,0.198885
120,0.191086
121,0.197353
122,0.185653
123,0.188491
124,0.207779
125,0.195767
126,0.191013
127,0.176595
128,0.196847
129,0.189852
130,0.185000
131,0.186242
132,0.180357
133,0.187994
134,0.188847
135,0.193830
136,0.194699
137,0.194813
138,0.197158
139,0.205894
140,0.201900
141,0.202309
142,0.195882
143,0.198687
144,0.198964
145,0.195423
146,0.196344
147,0.201006
148,0.205133
149,0.201981
150,0.201574
151,0.203462
152,0.201574
153,0.200844
154,0.195729
155,0.194661
156,0.196229
157,0.204587
158,0.187394
159,0.183741
160,0.181967
161,0.180325
162,0.163610
163,0.169840
164,0.169956
165,0.170420
166,0.170303
167,0.163155
168,0.179193
169,0.171886
170,0.175911
171,0.176004
172,0.174620
173,0.183809
174,0.185688
175,0.188313
176,0.175602
177,0.172360
178,0.183842
179,0.175417
180,0.171179
181,0.165097
182,0.160276
183,0.165864
184,0.175448
185,0.158270
186,0.156045
187,0.150701
188,0.158925
189,0.156411
190,0.148528
191,0.150226
192,0.158045
193,0.159559
194,0.159432
195,0.160250
196,0.166806
197,0.178712
198,0.170886
199,0.173407
200,0.179579
201,0.191379
202,0.192932
203,0.196692
204,0.196152
205,0.204545
206,0.219899
207,0.202925
208,0.202432
209,0.202514
210,0.206448
211,0.214562
212,0.205725
213,0.197743
214,0.203878
215,0.211071
216,0.209698
217,0.196925
218,0.191489
219,0.200000
220,0.206405
221,0.193380
222,0.181208
223,0.180880
224,0.181603
225,0.180586
226,0.169293
227,0.169985
228,0.173227
229,0.176222
230,0.187359
231,0.171915
232,0.173107
233,0.185034
234,0.179741
235,0.173437
236,0.168324
237,0.176877
238,0.172628
239,0.166973
240,0.168437
241,0.171768
242,0.177663
243,0.179257
244,0.177948
245,0.182466
246,0.192263
247,0.195232
248,0.190794
249,0.190758
250,0.200000
251,0.189636
252,0.191747
253,0.194661
254,0.183168
255,0.191710
256,0.189384
257,0.188455
258,0.184215
259,0.182666
260,0.197900
261,0.188562
262,0.187079
263,0.184249
264,0.192746
265,0.192708
266,0.190032
267,0.184453
268,0.183437
269,0.192671
270,0.187184
271,0.194585
272,0.180978
273,0.181636
274,0.184385
275,0.189384
276,0.190431
277,0.194471
278,0.191416
279,0.208472
280,0.197743
281,0.203628
282,0.207047
283,0.201615
284,0.202843
285,0.215907
286,0.196654
287,0.205767
288,0.209171
289,0.202555
290,0.212644
291,0.204881
292,0.214056
293,0.201290
294,0.205556
295,0.216140
296,0.201249
297,0.207390
298,0.203836
299,0.199481
300,0.203878
301,0.197158
302,0.192597
303,0.187535
304,0.194245
305,0.185515
306,0.180423
307,0.171003
308,0.175818
309,0.175695
310,0.170945
311,0.171179
312,0.167085
313,0.169638
314,0.173679
315,0.177253
316,0.184488
317,0.184385
318,0.189026
319,0.189852
320,0.200482
