node,closeness
0,0.750000
1,0.000000
2,1.000000
3,0.500000
4,0.169767
5,0.500000
6,0.000000
7,0.400000
8,0.177419
9,0.129433
10,0.000000
11,0.800000
12,0.000000
13,0.349206
14,0.250000
15,0.176471
16,0.000000
17,0.555556
18,0.666667
19,0.000000
20,0.000000
21,0.231579
22,1.000000
23,1.000000
24,0.181592
25,0.000000
26,0.000000
27,0.318182
28,0.400000
29,0.000000
30,0.625000
31,0.000000
32,0.000000
33,0.244898
34,0.000000
35,0.343750
36,0.000000
37,0.000000
38,0.500000
39,0.000000
40,0.666667
41,0.000000
42,0.583333
43,0.183761
44,0.193122
45,0.000000
46,1.000000
47,0.666667
48,0.000000
49,0.500000
50,0.000000
51,1.000000
52,0.000000
53,0.000000
54,1.000000
55,0.000000
56,1.000000
57,0.666667
58,1.000000
59,1.000000
60,0.130824
61,0.416667
62,0.000000
63,0.800000
64,0.000000
65,0.000000
66,0.000000
67,0.151408
68,1.000000
69,0.116848
70,0.666667
71,0.000000
72,1.000000
73,0.354839
74,0.000000
75,0.666667
76,0.268293
77,1.000000
78,0.000000
79,0.000000
80,0.000000
81,0.750000
82,1.000000
83,0.244444
84,0.000000
85,0.000000
86,0.000000
87,0.135688
88,0.000000
89,0.545455
90,0.000000
91,1.000000
92,0.000000
93,0.000000
94,0.275000
95,0.192982
96,0.198198
97,0.000000
98,1.000000
99,0.000000
100,0.000000
101,0.119672
102,0.500000
103,0.124573
104,0.000000
105,0.000000
106,0.147260
107,0.106436
108,0.500000
109,0.115142
110,0.571429
111,0.000000
112,0.318182
113,1.000000
114,0.000000
115,0.000000
116,0.196237
117,0.000000
118,0.220000
119,1.000000
120,0.750000
121,0.110256
122,0.000000
123,0.167969
124,1.000000
125,0.500000
126,0.104585
127,0.000000
128,0.000000
129,0.000000
130,0.116242
131,1.000000
132,0.000000
133,0.304348
134,0.000000
135,0.000000
136,0.000000
137,0.000000
138,0.000000
139,1.000000
140,0.000000
141,0.183333
142,1.000000
143,0.800000
144,0.000000
145,0.666667
146,0.000000
147,0.555556
148,0.000000
149,0.571429
150,1.000000
151,0.400000
152,0.437500
153,0.000000
154,0.333333
155,0.105911
156,0.400000
157,0.666667
158,1.000000
159,0.166667
160,1.000000
161,1.000000
162,0.750000
163,0.000000
164,0.292683
165,0.000000
166,0.000000
167,1.000000
168,0.500000
169,1.000000
170,1.000000
171,0.000000
172,0.466667
173,0.000000
174,0.314286
175,0.666667
176,0.110942
177,0.120066
178,0.400000
179,0.297297
180,0.208955
181,0.122857
182,0.000000
183,0.000000
184,0.000000
185,0.104585
186,0.342857
187,0.000000
188,0.231579
189,0.000000
190,0.357143
191,0.127622
192,0.218182
193,1.000000
194,0.122483
195,1.000000
196,0.750000
197,0.000000
198,0.205128
199,0.000000
200,0.113707
201,0.000000
202,0.000000
203,0.000000
204,0.000000
205,0.000000
206,0.500000
207,0.000000
208,0.666667
209,0.000000
210,0.154661
211,1.000000
212,0.000000
213,0.000000
214,0.333333
215,0.571429
216,0.000000
217,0.205607
218,1.000000
219,1.000000
220,0.138710
221,0.000000
222,0.000000
223,0.000000
224,1.000000
225,0.000000
