node,degree
0,52
1,31
2,4
3,51
4,93
5,82
6,88
7,77
8,40
9,33
10,45
11,14
12,59
13,17
14,23
15,14
16,29
17,6
18,17
19,13
20,18
21,13
22,37
23,16
24,6
25,28
26,24
27,14
28,15
29,17
30,20
31,14
32,12
33,18
34,38
35,6
36,8
37,11
38,12
39,8
40,5
41,19
42,12
43,14
44,7
45,25
46,15
47,17
48,11
49,13
50,16
51,15
52,7
53,10
54,12
55,7
56,38
57,5
58,18
59,10
60,12
61,10
62,8
63,3
64,17
65,8
66,9
67,6
68,8
69,13
70,15
71,24
72,4
73,13
74,13
75,7
76,16
77,12
78,15
79,9
80,15
81,27
82,5
83,4
84,11
85,16
86,5
87,6
88,10
89,6
90,3
91,16
92,8
93,11
94,14
95,24
96,9
97,13
98,12
99,14
100,9
101,10
102,15
103,13
104,7
105,12
106,14
107,10
108,12
109,4
110,10
111,4
112,10
113,18
114,9
115,17
116,10
117,24
118,4
119,3
120,11
121,6
122,13
123,7
124,3
125,6
126,7
127,4
128,9
129,9
130,8
131,13
132,10
133,5
134,11
135,5
136,12
137,6
138,10
139,9
140,5
141,6
142,4
143,3
144,5
145,3
146,6
147,5
148,5
149,9
150,9
151,9
152,15
153,6
154,4
155,7
156,17
157,9
158,6
159,4
160,9
161,16
162,11
163,6
164,11
165,6
166,3
167,5
168,7
169,7
170,7
171,6
172,5
173,8
174,3
175,5
176,4
177,5
178,5
179,5
180,4
181,6
182,3
183,6
184,5
185,6
186,8
187,4
188,6
189,7
190,10
191,10
192,7
193,8
194,4
195,6
196,4
197,8
198,10
199,16
200,9
201,5
202,4
203,6
204,8
205,4
206,13
207,5
208,13
209,8
210,4
211,4
212,3
213,13
214,8
215,4
216,5
217,9
218,6
219,6
220,7
221,3
222,7
223,8
224,10
225,3
226,6
227,6
228,6
229,11
230,11
231,5
232,5
233,6
234,6
235,7
236,7
237,5
238,13
239,3
240,9
241,9
242,9
243,7
244,5
245,5
246,7
247,10
248,5
249,4
250,6
251,5
252,8
253,7
254,5
255,16
256,6
257,7
258,8
259,6
260,4
261,4
262,6
263,6
264,4
265,6
266,8
267,4
268,6
269,4
270,5
271,5
272,6
273,8
274,5
275,3
276,4
277,3
278,5
279,7
280,4
281,10
282,4
283,4
284,3
285,5
286,6
287,3
288,4
289,5
290,4
291,6
292,4
293,3
294,3
295,6
296,12
297,5
298,3
299,4
300,6
301,9
302,5
303,7
304,11
305,7
306,7
307,5
308,3
309,5
310,8
311,6
312,8
313,5
314,10
315,5
316,9
317,4
318,8
319,8
320,5
321,4
322,6
323,8
324,10
325,6
326,4
327,5
328,3
329,7
330,3
331,6
332,4
333,6
334,6
335,3
336,3
337,4
338,5
339,4
340,5
341,5
342,6
343,4
344,4
345,6
346,4
347,4
348,4
349,9
350,3
351,3
352,5
353,3
354,4
355,3
356,4
357,3
358,6
359,5
360,5
361,3
362,5
363,5
364,3
365,5
366,5
367,6
368,5
369,5
370,5
371,7
372,3
373,6
374,4
375,6
376,3
377,8
378,4
379,3
380,3
381,4
382,6
383,6
384,5
385,5
386,3
387,4
388,3
389,5
390,6
391,4
392,8
393,4
394,7
395,6
396,3
397,6
398,8
399,4
400,4
401,3
402,6
403,6
404,4
405,5
406,5
407,5
408,4
409,4
410,7
411,5
412,6
413,4
414,3
415,4
416,4
417,3
418,6
419,5
420,3
421,5
422,8
423,4
424,7
425,4
426,3
427,4
428,3
429,5
430,3
431,5
432,3
433,5
434,3
435,5
436,5
437,4
438,5
439,4
440,5
441,9
442,3
443,6
444,6
445,3
446,6
447,4
448,4
449,4
450,9
451,5
452,4
453,6
454,5
455,4
456,5
457,5
458,3
459,3
460,7
461,3
462,3
463,8
464,5
465,6
466,3
467,5
468,3
469,3
470,4
471,5
472,3
473,4
474,4
475,6
476,3
477,4
478,3
479,4
480,3
481,3
482,9
483,4
484,6
485,3
486,7
487,3
488,5
489,3
490,5
491,3
492,3
493,6
494,3
495,5
496,5
497,4
498,3
499,4
500,3
501,3
502,4
503,3
504,6
505,4
506,4
507,3
508,4
509,6
510,4
511,3
512,6
513,3
514,3
515,5
516,6
517,5
518,3
519,4
520,5
521,8
522,4
523,4
524,4
525,4
526,4
527,3
528,3
529,4
530,6
531,4
532,5
533,3
534,6
535,3
536,3
537,3
538,3
539,8
540,4
541,5
542,3
543,5
544,7
545,3
546,8
547,3
548,3
549,5
550,3
551,3
552,3
553,4
554,3
555,4
556,6
557,4
558,4
559,3
560,6
561,3
562,3
563,4
564,4
565,3
566,4
567,4
568,4
569,3
570,5
571,6
572,3
573,5
574,5
575,4
576,4
577,3
578,3
579,3
580,3
581,3
582,4
583,3
584,4
585,3
586,4
587,3
588,3
589,3
590,5
591,3
592,4
593,4
594,3
595,3
596,4
597,3
598,4
599,6
600,3
601,3
602,3
603,3
604,3
605,3
606,6
607,3
608,3
609,3
610,4
611,4
612,6
613,3
614,3
615,3
616,4
617,4
618,3
619,3
620,4
621,3
622,3
623,3
624,4
625,5
626,5
627,4
628,3
629,5
630,4
631,4
632,3
633,3
634,3
635,3
636,3
637,3
638,3
639,5
640,3
641,3
642,3
643,3
644,4
645,5
646,4
647,5
648,3
649,5
650,4
651,3
652,4
653,4
654,5
655,4
656,5
657,4
658,4
659,3
660,3
661,3
662,4
663,3
664,3
665,3
666,3
667,3
668,3
669,4
670,4
671,4
672,6
673,4
674,3
675,3
676,3
677,4
678,4
679,4
680,3
681,4
682,4
683,4
684,5
685,4
686,4
687,3
688,4
689,4
690,4
691,3
692,3
693,3
694,3
695,4
696,3
697,4
698,4
699,4
700,3
701,3
702,3
703,5
704,3
705,4
706,5
707,3
708,3
709,4
710,3
711,3
712,3
713,3
714,4
715,3
716,3
717,3
718,6
719,3
720,4
721,4
722,3
723,3
724,3
725,4
726,4
727,3
728,3
729,5
730,4
731,4
732,3
733,4
734,3
735,5
736,5
737,3
738,3
739,4
740,3
741,4
742,3
743,3
744,5
745,3
746,3
747,3
748,4
749,3
750,4
751,3
752,4
753,4
754,4
755,3
756,4
757,4
758,3
759,3
760,3
761,4
762,3
763,4
764,6
765,4
766,3
767,3
768,4
769,3
770,4
771,4
772,5
773,3
774,3
775,4
776,5
777,3
778,3
779,3
780,4
781,3
782,3
783,3
784,5
785,4
786,4
787,3
788,3
789,4
790,3
791,3
792,4
793,4
794,3
795,3
796,3
797,3
798,3
799,3
800,3
801,3
802,4
803,3
804,3
805,3
806,3
807,3
808,3
809,3
810,4
811,3
812,3
813,5
814,3
815,3
816,3
817,3
818,3
819,3
820,3
821,3
822,3
823,3
824,3
825,4
826,3
827,3
828,4
829,3
830,3
831,3
832,3
833,3
834,3
835,3
836,3
837,3
838,3
839,3
840,3
841,3
842,4
843,3
844,4
845,3
846,4
847,4
848,3
849,3
850,3
851,3
852,3
853,3
854,3
855,3
856,3
857,4
858,3
859,3
860,3
861,3
862,3
863,3
864,3
865,3
866,3
867,3
868,4
869,3
870,3
871,3
872,3
873,4
874,3
875,3
876,3
877,3
878,3
879,3
880,3
881,3
882,3
883,4
884,3
885,4
886,3
887,3
888,4
889,3
890,3
891,3
892,3
893,3
894,3
895,4
896,4
897,3
898,3
899,3
900,3
901,4
902,3
903,3
904,3
905,3
906,3
907,3
908,3
909,3
910,3
911,3
912,3
913,3
914,3
915,3
916,3
917,3
918,3
919,3
920,3
921,3
922,3
923,3
924,3
925,3
926,3
927,3
928,3
929,3
930,3
931,3
932,3
933,3
934,3
935,3
936,4
937,3
938,3
939,3
940,3
941,3
942,3
943,3
944,3
945,3
946,3
947,3
948,3
949,3
950,3
951,3
952,3
953,3
954,4
955,4
956,3
957,3
958,3
959,3
960,3
961,3
962,4
963,3
964,3
965,3
966,3
967,3
968,3
969,3
970,3
971,3
972,3
973,3
974,4
975,3
976,4
977,3
978,3
979,3
980,3
981,3
982,3
983,3
984,3
985,3
986,3
987,3
988,3
989,3
990,3
991,3
992,3
993,3
994,3
995,3
996,3
997,3
998,3
999,3
