node,degree
0,2
1,0
2,2
3,1
4,3
5,1
6,0
7,1
8,1
9,2
10,0
11,3
12,0
13,5
14,1
15,2
16,0
17,2
18,2
19,0
20,0
21,2
22,1
23,1
24,2
25,0
26,0
27,1
28,1
29,0
30,3
31,0
32,0
33,2
34,0
35,2
36,0
37,0
38,1
39,0
40,2
41,0
42,3
43,2
44,3
45,0
46,1
47,1
48,0
49,1
50,0
51,1
52,0
53,0
54,1
55,0
56,1
57,1
58,1
59,1
60,2
61,1
62,0
63,3
64,0
65,0
66,0
67,1
68,1
69,2
70,2
71,0
72,1
73,2
74,0
75,1
76,1
77,1
78,0
79,0
80,0
81,2
82,2
83,4
84,0
85,0
86,0
87,1
88,0
89,2
90,0
91,1
92,0
93,0
94,3
95,2
96,1
97,0
98,1
99,0
100,0
101,1
102,1
103,4
104,0
105,0
106,2
107,2
108,1
109,1
110,2
111,0
112,1
113,1
114,0
115,0
116,6
117,0
118,1
119,1
120,2
121,2
122,0
123,2
124,1
125,1
126,2
127,0
128,0
129,0
130,3
131,1
132,0
133,1
134,0
135,0
136,0
137,0
138,0
139,1
140,0
141,1
142,1
143,3
144,0
145,2
146,0
147,2
148,0
149,2
150,1
151,3
152,2
153,0
154,1
155,1
156,1
157,1
158,1
159,3
160,1
161,1
162,2
163,0
164,1
165,0
166,0
167,1
168,1
169,1
170,1
171,0
172,3
173,0
174,2
175,1
176,1
177,1
178,2
179,3
180,1
181,1
182,0
183,0
184,0
185,1
186,3
187,0
188,1
189,0
190,1
191,4
192,2
193,1
194,1
195,1
196,2
197,0
198,3
199,0
200,2
201,0
202,0
203,0
204,0
205,0
206,1
207,0
208,1
209,0
210,1
211,1
212,0
213,0
214,1
215,2
216,0
217,2
218,1
219,1
220,2
221,0
222,0
223,0
224,1
225,0
226,0
227,1
228,1
229,2
230,0
231,1
232,0
233,0
234,0
235,0
236,1
237,0
238,0
239,0
240,2
241,2
242,0
243,2
244,1
245,1
246,2
247,0
248,0
249,3
250,4
251,1
252,0
253,1
254,1
255,0
256,2
257,0
258,0
259,1
260,1
261,0
262,0
263,0
264,0
265,1
266,1
267,0
268,2
269,1
270,0
271,1
272,2
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,1
281,0
282,0
283,1
284,0
285,4
286,1
287,1
288,2
289,2
290,1
291,3
292,0
293,2
294,1
295,0
296,0
297,2
298,0
299,0
300,0
301,1
302,2
303,1
304,1
305,4
306,0
307,2
308,1
309,0
310,0
311,1
312,5
313,0
314,2
315,0
316,0
317,1
318,0
319,2
320,1
321,2
322,2
323,2
324,0
325,2
326,1
327,1
328,1
329,0
330,2
331,2
332,2
333,2
334,0
335,3
336,2
337,1
338,0
339,1
340,0
341,0
342,1
343,1
344,1
345,0
346,1
347,1
348,1
349,0
350,0
351,1
352,2
353,2
354,4
355,2
356,1
357,0
358,1
359,0
360,1
361,1
362,1
363,2
364,2
365,3
366,0
367,0
368,3
369,2
370,2
371,0
372,3
373,1
374,0
375,1
376,3
377,3
378,0
379,0
380,0
381,2
382,1
383,0
384,1
385,0
386,1
387,1
388,2
389,1
390,1
391,0
392,3
393,1
394,1
395,2
396,0
397,0
398,0
399,0
400,1
401,2
402,1
403,1
404,0
405,3
406,1
407,0
408,1
409,0
410,4
411,0
412,2
413,0
414,0
415,2
416,2
417,1
418,0
419,0
420,0
421,0
422,0
423,3
424,1
425,1
426,0
427,1
428,0
429,1
430,1
431,1
432,0
433,1
434,1
435,0
436,2
437,0
438,1
439,3
440,0
441,0
442,1
443,0
444,1
445,0
446,0
447,0
448,2
449,1
450,1
451,2
452,2
453,1
454,2
455,0
456,0
457,2
458,1
459,1
460,7
461,0
462,3
463,0
464,2
465,2
466,1
467,0
468,2
469,1
470,1
471,1
472,1
473,0
474,1
475,1
476,0
477,0
478,1
479,1
480,0
481,0
482,0
483,1
484,1
485,0
486,1
487,0
488,1
489,2
490,1
491,3
492,1
493,1
494,2
495,0
496,0
497,0
498,3
499,3
500,1
501,0
502,1
503,1
504,0
505,0
506,3
507,1
508,1
509,0
510,1
511,1
512,1
513,1
514,2
515,1
516,1
517,0
518,0
519,3
520,1
521,0
522,1
523,2
524,1
525,3
526,0
527,2
528,2
529,1
530,1
531,0
532,0
533,0
534,1
535,0
536,0
537,1
538,1
539,2
540,1
541,0
542,1
543,4
544,1
545,0
546,3
547,1
548,0
549,1
550,0
551,3
552,0
553,0
554,1
555,0
556,1
557,2
558,3
559,1
560,1
561,0
562,2
563,1
564,1
565,1
566,0
567,1
568,2
569,2
570,1
571,1
572,3
573,1
574,0
575,3
576,1
577,1
578,0
579,2
580,1
581,0
582,0
583,0
584,0
585,2
586,0
587,2
588,1
589,0
590,2
591,2
592,1
593,3
594,1
595,1
596,0
597,0
598,1
599,0
600,0
601,3
602,0
603,1
604,1
605,1
606,0
607,1
608,2
609,2
610,1
611,1
612,0
613,1
614,0
615,0
616,0
617,1
618,0
619,0
620,2
621,1
622,0
623,1
624,5
625,1
626,1
627,2
628,1
629,0
630,2
631,3
632,2
633,2
634,0
635,2
636,2
637,1
638,2
639,0
640,1
641,0
642,2
643,0
644,0
645,1
646,0
647,0
648,0
649,1
650,1
651,1
652,1
653,0
654,2
655,0
656,0
657,1
658,0
659,0
660,0
661,1
662,0
663,1
664,2
665,0
666,0
667,1
668,2
669,1
670,0
671,1
672,0
673,1
674,0
675,0
676,0
677,0
678,0
679,2
680,0
681,0
682,1
683,0
684,3
685,0
686,1
687,1
688,0
689,2
690,0
691,0
692,0
693,0
694,2
695,2
696,0
697,0
698,1
699,0
700,0
701,0
702,1
703,0
704,2
705,0
706,1
707,1
708,3
709,3
710,1
711,0
712,2
713,3
714,0
715,0
716,1
717,1
718,4
719,0
720,2
721,1
722,0
723,2
724,2
725,2
726,0
727,1
728,1
729,1
730,1
731,0
732,1
733,1
734,1
735,1
736,1
737,0
738,0
739,1
740,2
741,0
742,1
743,1
744,2
745,2
746,1
747,3
748,2
749,2
750,0
751,0
752,2
753,0
754,2
755,1
756,0
757,1
758,1
759,1
760,1
761,1
762,0
763,1
764,1
765,2
766,3
767,1
768,1
769,2
770,0
771,0
772,1
773,1
774,0
775,0
776,0
777,0
778,1
779,1
780,1
781,2
782,0
783,0
784,0
785,1
786,1
787,0
788,1
789,1
790,2
791,0
792,2
793,0
794,0
795,0
796,1
797,1
798,2
799,1
800,0
801,0
802,0
803,1
804,0
805,2
806,0
807,0
808,0
809,0
810,0
811,0
812,1
813,1
814,0
815,0
816,0
817,0
818,1
819,0
820,2
821,1
822,1
823,1
824,0
825,2
826,2
827,0
828,2
829,1
830,1
831,2
832,1
833,0
834,1
835,1
836,1
837,2
838,1
839,0
840,1
841,0
842,1
843,1
844,1
845,1
846,0
847,1
848,0
849,3
850,0
851,2
852,1
853,1
854,2
855,0
856,1
857,2
858,0
859,2
860,2
861,0
862,0
863,1
864,2
865,1
866,2
867,0
868,3
869,1
870,3
871,0
872,3
873,1
874,0
875,0
876,0
877,1
878,1
879,0
880,1
881,0
882,3
883,1
884,1
885,1
886,2
887,2
888,2
889,2
890,2
891,1
892,1
893,0
894,0
895,1
896,1
897,1
898,0
899,1
900,1
901,3
902,1
903,0
904,1
905,0
906,0
907,0
908,2
909,2
910,1
911,0
912,0
913,1
914,0
915,1
916,0
917,1
918,0
919,2
920,2
921,1
922,1
923,0
924,2
925,1
926,0
927,0
928,1
929,0
930,1
931,1
932,0
933,0
934,2
935,0
936,0
937,2
938,0
939,2
940,1
941,0
942,1
943,0
944,2
945,1
946,0
947,2
948,1
949,0
950,2
951,1
952,1
953,0
954,2
955,1
956,2
957,0
958,0
959,1
960,1
961,3
962,0
963,1
964,0
965,0
966,0
967,1
968,1
969,2
970,3
971,1
972,0
973,3
974,1
975,1
976,0
977,0
978,2
979,0
980,2
981,0
982,2
983,1
984,0
985,1
986,0
987,2
988,0
989,1
990,0
991,1
992,0
993,0
994,2
995,1
996,1
997,1
998,1
