node,pagerank
0,0.000150
1,0.000150
2,0.000151
3,0.000151
4,0.000150
5,0.000150
6,0.000150
7,0.000150
8,0.000151
9,0.000153
10,0.000154
11,0.000150
12,0.000151
13,0.000151
14,0.000153
15,0.000151
16,0.000154
17,0.000151
18,0.000152
19,0.000153
20,0.000153
21,0.000154
22,0.000154
23,0.000155
24,0.000151
25,0.000155
26,0.000155
27,0.000155
28,0.000155
29,0.000155
30,0.000154
31,0.000151
32,0.000151
33,0.000150
34,0.000150
35,0.000154
36,0.000153
37,0.000154
38,0.000153
39,0.000154
40,0.000155
41,0.000154
42,0.000157
43,0.000158
44,0.000156
45,0.000154
46,0.000157
47,0.000158
48,0.000158
49,0.000157
50,0.000153
51,0.000159
52,0.000154
53,0.000159
54,0.000154
55,0.000158
56,0.000155
57,0.000155
58,0.000159
59,0.000158
60,0.000156
61,0.000162
62,0.000161
63,0.000154
64,0.000165
65,0.000160
66,0.000157
67,0.000159
68,0.000155
69,0.000155
70,0.000159
71,0.000160
72,0.000161
73,0.000161
74,0.000168
75,0.000162
76,0.000159
77,0.000157
78,0.000160
79,0.000163
80,0.000158
81,0.000161
82,0.000159
83,0.000157
84,0.000158
85,0.000156
86,0.000164
87,0.000163
88,0.000169
89,0.000162
90,0.000161
91,0.000170
92,0.000158
93,0.000161
94,0.000167
95,0.000159
96,0.000165
97,0.000158
98,0.000164
99,0.000163
100,0.000158
101,0.000165
102,0.000166
103,0.000163
104,0.000162
105,0.000169
106,0.000153
107,0.000171
108,0.000167
109,0.000161
110,0.000167
111,0.000162
112,0.000167
113,0.000162
114,0.000166
115,0.000160
116,0.000169
117,0.000162
118,0.000164
119,0.000162
120,0.000172
121,0.000157
122,0.000173
123,0.000162
124,0.000169
125,0.000169
126,0.000168
127,0.000164
128,0.000171
129,0.000170
130,0.000167
131,0.000162
132,0.000171
133,0.000170
134,0.000172
135,0.000167
136,0.000163
137,0.000170
138,0.000170
139,0.000164
140,0.000171
141,0.000167
142,0.000169
143,0.000173
144,0.000177
145,0.000173
146,0.000167
147,0.000167
148,0.000166
149,0.000175
150,0.000179
151,0.000179
152,0.000180
153,0.000179
154,0.000184
155,0.000173
156,0.000180
157,0.000176
158,0.000172
159,0.000176
160,0.000180
161,0.000176
162,0.000175
163,0.000168
164,0.000170
165,0.000175
166,0.000166
167,0.000180
168,0.000187
169,0.000171
170,0.000180
171,0.000167
172,0.000166
173,0.000175
174,0.000175
