node,pagerank
0,0.000150
1,0.000152
2,0.000152
3,0.000152
4,0.000198
5,0.000159
6,0.000197
7,0.000156
8,0.000158
9,0.000155
10,0.000156
11,0.000156
12,0.000158
13,0.000157
14,0.000158
15,0.000156
16,0.000160
17,0.000162
18,0.000157
19,0.000158
20,0.000155
21,0.000156
22,0.000161
23,0.000164
24,0.000157
25,0.000156
26,0.000162
27,0.000163
28,0.000164
29,0.000157
30,0.000160
31,0.000160
32,0.000169
33,0.000167
34,0.000158
35,0.000167
36,0.000164
37,0.000168
38,0.000166
39,0.000200
40,0.000159
41,0.000188
42,0.000192
43,0.000159
44,0.000156
45,0.000161
46,0.000157
47,0.000162
48,0.000165
49,0.000164
50,0.000161
51,0.000159
52,0.000169
53,0.000161
54,0.000194
55,0.000164
56,0.000155
57,0.000167
58,0.000157
59,0.000179
60,0.000172
61,0.000177
62,0.000176
63,0.000167
64,0.000158
65,0.000168
66,0.000160
67,0.000167
68,0.000159
69,0.000169
70,0.000168
71,0.000159
72,0.000165
73,0.000179
74,0.000156
75,0.000173
76,0.000176
77,0.000173
78,0.000172
79,0.000195
80,0.000168
81,0.000182
82,0.000166
83,0.000157
84,0.000170
85,0.000165
86,0.000156
87,0.000176
88,0.000170
89,0.000175
90,0.000188
91,0.000163
92,0.000176
93,0.000158
94,0.000204
95,0.000170
96,0.000176
97,0.000181
98,0.000162
99,0.000158
100,0.000195
101,0.000179
102,0.000209
103,0.000166
104,0.000169
105,0.000178
106,0.000183
107,0.000167
108,0.000181
109,0.000177
110,0.000203
111,0.000157
112,0.000160
113,0.000180
114,0.000167
115,0.000192
116,0.000200
117,0.000183
118,0.000194
119,0.000179
120,0.000179
121,0.000169
122,0.000165
123,0.000166
124,0.000200
125,0.000185
126,0.000163
127,0.000178
128,0.000166
129,0.000179
130,0.000296
131,0.000201
132,0.000208
133,0.000171
134,0.000183
135,0.000169
136,0.000163
137,0.000208
138,0.000192
139,0.000172
140,0.000189
141,0.000179
142,0.000229
143,0.000162
144,0.000191
145,0.000170
146,0.000210
147,0.000190
148,0.000172
149,0.000185
150,0.000168
151,0.000182
152,0.000233
153,0.000196
154,0.000202
155,0.000174
156,0.000213
157,0.000191
158,0.000210
159,0.000204
160,0.000390
161,0.000178
162,0.000178
163,0.000163
164,0.000214
165,0.000180
