node,pagerank
0,0.000150
1,0.000163
2,0.000163
3,0.000195
4,0.000223
5,0.000250
6,0.000280
7,0.000277
8,0.000334
9,0.000306
10,0.000388
11,0.000412
12,0.000372
13,0.000458
14,0.000427
15,0.000500
16,0.000446
17,0.000524
18,0.000550
19,0.000566
20,0.000590
21,0.000588
22,0.000613
23,0.000628
24,0.000641
25,0.000635
26,0.000660
27,0.000564
28,0.000663
29,0.000669
30,0.000579
31,0.000570
32,0.000553
33,0.000650
34,0.000647
35,0.000644
36,0.000637
37,0.000664
38,0.000683
39,0.000669
40,0.000559
41,0.000677
42,0.000683
43,0.000687
44,0.000687
45,0.000671
46,0.000690
47,0.000556
48,0.000651
49,0.000664
50,0.000680
51,0.000662
52,0.000658
53,0.000676
54,0.000680
55,0.000663
56,0.000661
57,0.000679
58,0.000664
59,0.000589
60,0.000578
61,0.000695
62,0.000556
63,0.000679
64,0.000682
65,0.000673
66,0.000689
67,0.000591
68,0.000597
69,0.000683
70,0.000663
71,0.000542
72,0.000618
73,0.000605
74,0.000531
75,0.000617
76,0.000525
77,0.000625
78,0.000626
79,0.000629
80,0.000646
81,0.000651
82,0.000654
83,0.000677
84,0.000666
85,0.000562
86,0.000658
87,0.000567
88,0.000663
89,0.000680
90,0.000663
91,0.000661
92,0.000643
93,0.000656
94,0.000636
95,0.000705
96,0.000674
97,0.000695
98,0.000703
99,0.000730
100,0.000840
101,0.000805
102,0.000703
103,0.000709
104,0.000651
105,0.000695
106,0.000635
107,0.000619
108,0.000713
109,0.000608
110,0.000689
111,0.000560
112,0.000518
113,0.000622
114,0.000607
115,0.000624
116,0.000632
117,0.000661
118,0.000685
119,0.000908
120,0.000785
121,0.000813
122,0.000705
123,0.000658
124,0.000846
125,0.000869
126,0.000825
127,0.000522
128,0.000795
129,0.000819
130,0.000838
131,0.000796
132,0.000656
133,0.000814
134,0.000817
135,0.000816
136,0.000813
137,0.000816
138,0.000843
139,0.000848
140,0.000530
141,0.000737
142,0.000704
143,0.000685
144,0.000658
145,0.000667
146,0.000716
147,0.000733
148,0.000717
149,0.000702
150,0.000710
151,0.000717
152,0.000697
153,0.000472
154,0.000610
155,0.000675
156,0.000669
157,0.000782
158,0.000676
159,0.000711
160,0.000728
161,0.000737
162,0.000635
163,0.000743
164,0.000754
165,0.000762
166,0.000767
167,0.000772
168,0.000796
169,0.000782
170,0.000787
171,0.000791
172,0.000795
173,0.000799
174,0.000822
175,0.000926
176,0.000830
177,0.000700
178,0.000820
179,0.000823
180,0.000847
181,0.000833
182,0.000695
183,0.000833
184,0.000835
185,0.000837
186,0.000836
187,0.000694
188,0.000836
189,0.000837
190,0.000837
191,0.000837
192,0.000837
193,0.000861
194,0.000865
195,0.000870
196,0.000876
197,0.000883
198,0.000865
199,0.000866
200,0.000866
201,0.000866
202,0.000864
203,0.000956
204,0.000901
205,0.000881
206,0.000859
207,0.000803
208,0.000793
209,0.000765
210,0.000767
211,0.000773
212,0.000896
213,0.000791
214,0.000791
215,0.000881
216,0.000793
217,0.000833
218,0.000688
219,0.000805
220,0.000807
221,0.000755
222,0.000749
223,0.000735
224,0.000743
225,0.000755
226,0.000657
227,0.000769
228,0.000772
229,0.000778
230,0.000784
231,0.000767
232,0.000786
233,0.000902
234,0.000811
235,0.000793
236,0.000817
237,0.000826
238,0.000809
239,0.000793
240,0.000813
241,0.000816
242,0.000816
243,0.000838
244,0.000843
245,0.000852
246,0.000858
247,0.000865
248,0.000874
249,0.000880
250,0.000886
251,0.000599
252,0.000831
253,0.000852
254,0.000707
255,0.000828
256,0.000818
257,0.000691
258,0.000829
259,0.000789
260,0.000803
261,0.000776
262,0.000768
263,0.000801
264,0.000796
265,0.000775
266,0.000661
267,0.000755
268,0.000753
269,0.000745
270,0.000737
271,0.000804
272,0.000774
273,0.000777
274,0.000644
275,0.000785
276,0.000793
277,0.000904
278,0.000852
279,0.001106
280,0.000751
281,0.000953
282,0.001077
283,0.000956
284,0.000973
285,0.000951
286,0.000823
287,0.000936
288,0.000912
289,0.000744
290,0.000937
291,0.000904
292,0.001006
293,0.000758
294,0.000646
295,0.000955
296,0.000568
297,0.000738
298,0.000725
299,0.000699
300,0.000708
301,0.000693
302,0.000695
303,0.000708
304,0.000605
305,0.000710
306,0.000607
307,0.000595
308,0.000681
309,0.000677
310,0.000689
311,0.000685
312,0.000716
313,0.000736
314,0.000745
315,0.000757
316,0.000769
317,0.000783
318,0.000794
319,0.000669
320,0.000791
321,0.000797
322,0.000802
323,0.000691
324,0.000746
325,0.000812
326,0.000870
327,0.000858
328,0.000537
329,0.000901
330,0.000836
331,0.000944
332,0.000843
333,0.000816
334,0.000864
335,0.000983
336,0.000716
337,0.000886
338,0.000917
339,0.000934
340,0.001024
341,0.001062
342,0.000987
343,0.001004
344,0.001008
345,0.001198
346,0.000488
347,0.001094
348,0.001054
349,0.001062
350,0.000825
351,0.000733
352,0.000986
353,0.000894
354,0.000866
355,0.000953
356,0.000855
357,0.000734
358,0.000881
359,0.000854
360,0.000852
361,0.000782
362,0.000897
363,0.000731
364,0.000653
365,0.000937
366,0.000847
367,0.000858
368,0.000814
369,0.000849
370,0.000882
371,0.000975
372,0.000786
373,0.001026
374,0.000608
375,0.000919
376,0.000925
377,0.001010
378,0.001009
379,0.000910
380,0.000936
381,0.001021
382,0.000998
383,0.000779
384,0.001068
385,0.001010
386,0.001167
387,0.000822
388,0.000974
389,0.001007
390,0.000996
391,0.000826
392,0.000885
393,0.000895
394,0.000882
395,0.000720
396,0.000822
397,0.000821
398,0.000810
399,0.000656
400,0.000618
401,0.000760
402,0.000773
403,0.000765
404,0.000900
405,0.000904
406,0.000886
407,0.000907
408,0.000584
409,0.000899
410,0.000899
411,0.000860
412,0.000855
413,0.000847
414,0.000891
415,0.000836
416,0.000945
417,0.001036
418,0.000782
419,0.000752
420,0.000974
421,0.000997
422,0.000966
423,0.001052
424,0.000926
425,0.000956
426,0.000795
427,0.000896
428,0.000884
429,0.001035
430,0.001024
431,0.001025
432,0.001041
433,0.001017
434,0.001039
435,0.001040
436,0.000851
437,0.001042
438,0.000998
439,0.001054
440,0.001014
441,0.001010
442,0.001037
443,0.001006
444,0.000812
445,0.000950
446,0.000939
447,0.000927
448,0.000938
449,0.000926
450,0.000919
451,0.000888
452,0.000983
453,0.000931
454,0.000930
455,0.000956
456,0.000780
457,0.000808
458,0.001011
459,0.000955
460,0.000960
461,0.000960
462,0.000587
463,0.000926
464,0.000869
465,0.000830
466,0.000807
467,0.000809
468,0.000846
469,0.000551
470,0.001002
471,0.001130
472,0.000525
473,0.000930
474,0.000944
475,0.001144
476,0.000952
477,0.000720
478,0.000996
479,0.001007
480,0.001018
481,0.001039
482,0.000791
483,0.001066
484,0.001032
485,0.001036
486,0.001145
487,0.001028
488,0.000695
489,0.000960
490,0.001046
491,0.000979
492,0.000950
493,0.001048
494,0.000997
495,0.000975
496,0.000963
497,0.000799
498,0.000935
499,0.000915
500,0.000930
501,0.000922
502,0.000915
503,0.000935
504,0.000935
505,0.000938
506,0.000940
507,0.000943
508,0.001061
509,0.001105
510,0.001102
511,0.001072
512,0.001095
513,0.000887
514,0.001172
515,0.000903
516,0.001072
517,0.001282
518,0.000885
519,0.001158
520,0.001106
521,0.001140
522,0.000964
523,0.001043
524,0.000873
525,0.001021
526,0.001007
527,0.000984
528,0.000988
529,0.000978
530,0.000996
531,0.000824
532,0.000961
533,0.000957
534,0.000925
535,0.001002
536,0.001018
537,0.000829
538,0.000971
539,0.000830
540,0.000767
541,0.000944
542,0.000991
543,0.000887
544,0.000965
545,0.000896
546,0.001065
547,0.001050
548,0.000768
