node,pagerank
0,0.000150
1,0.000150
2,0.000150
3,0.000150
4,0.000150
5,0.000150
6,0.000150
7,0.000150
8,0.000150
9,0.000150
10,0.000150
11,0.000150
12,0.000150
13,0.000150
14,0.000150
15,0.000150
16,0.000150
17,0.000150
18,0.000150
19,0.000150
20,0.000150
21,0.000150
22,0.000150
23,0.000150
24,0.000150
25,0.000150
26,0.000150
27,0.000150
28,0.000150
29,0.000150
30,0.000150
31,0.000150
32,0.000150
33,0.000150
34,0.000150
35,0.000150
36,0.000150
37,0.000150
38,0.000150
39,0.000150
40,0.000193
41,0.000150
42,0.000150
43,0.000150
44,0.000150
45,0.000150
46,0.000150
47,0.000150
48,0.000150
49,0.000150
50,0.000150
51,0.000150
52,0.000150
53,0.000150
54,0.000150
55,0.000150
56,0.000150
57,0.000150
58,0.000150
59,0.000150
60,0.000150
61,0.000193
62,0.000150
63,0.000150
64,0.000150
65,0.000150
66,0.000150
67,0.000150
68,0.000150
69,0.000150
70,0.000193
71,0.000150
72,0.000150
73,0.000150
74,0.000150
75,0.000150
76,0.000214
77,0.000150
78,0.000150
79,0.000150
80,0.000150
81,0.000150
82,0.000150
83,0.000150
84,0.000150
85,0.000150
86,0.000150
87,0.000150
88,0.000150
89,0.000150
90,0.000150
91,0.000150
92,0.000150
93,0.000150
94,0.000150
95,0.000214
96,0.000182
97,0.000150
98,0.000150
99,0.000150
100,0.000150
101,0.000150
102,0.000150
103,0.000150
104,0.000150
105,0.000150
106,0.000150
107,0.000214
108,0.000150
109,0.000150
110,0.000150
111,0.000150
112,0.000150
113,0.000150
114,0.000150
115,0.000150
116,0.000299
117,0.000150
118,0.000193
119,0.000278
120,0.000150
121,0.000150
122,0.000150
123,0.000150
124,0.000150
125,0.000214
126,0.000150
127,0.000150
128,0.000150
129,0.000150
130,0.000214
131,0.000150
132,0.000150
133,0.000150
134,0.000150
135,0.000150
136,0.000150
137,0.000150
138,0.000150
139,0.000150
140,0.000150
141,0.000150
142,0.000150
143,0.000150
144,0.000150
145,0.000150
146,0.000150
147,0.000214
148,0.000150
149,0.000150
150,0.000278
151,0.000150
152,0.000320
153,0.000150
154,0.000150
155,0.000150
156,0.000150
157,0.000150
158,0.000150
159,0.000214
160,0.000150
161,0.000150
162,0.000278
163,0.000150
164,0.000150
165,0.000150
166,0.000150
167,0.000278
168,0.000150
169,0.000150
170,0.000278
171,0.000150
172,0.000150
173,0.000150
174,0.000176
